groupId,label,status,count,category,subcategory,confidence,homogeneity,reviewSampleSize,examples
legacy_dvigatel-i-transmissiya_sceplenie|сцеплен|dvigatel-i-transmissiya|sceplenie,sceplenie,GROUP_REVIEW,459,dvigatel-i-transmissiya,sceplenie,0.82,1,20,"ЗЧМ-00019 Трос сцепления 2141 | ЗЧМ-00286 Набор втулок сцепления 2141 (3 шт) | ЗЧМ-00380 Набор сцепления 2141 | ЗЧМ-00483 Сцепление ""LUK"" | ЗЧМ-00526 Вилка сцепления 2141 | ЗЧМ-00592 Ремкомплект вилки сцепления 2141 | ИН-00612 30647 Трос сцепления DAEWOO MATIZ/SPARK | ИН-01095 N10104501 Болт крепления корзины сцеплени"
bearing|подшипник|podveska|podshipniki,Подшипники,GROUP_REVIEW,449,podveska,podshipniki,0.904,1,20,ЗКГ-00230 Набор игольчатых подшипников КПП Таврия | ЗКГ-00400 Крышка подшипника вторичного вала МАЗ | ИН-00017 Подшипник задней ступицы Рено 1 шт | ИН-00104 подшипник 40210-4М400 | ИН-00286 Подшипник ступ. OPEL ASTRA/CORSA/KADET/VE | ИН-00368 Подшипник передний GH040030 | ИН-00938 Подшипник | ИН-01008 Подшипник перед. ступицы Рено с АБС (Оригинал)
sensor|датчик|elektrika|datchiki,Датчики,GROUP_REVIEW,372,elektrika,datchiki,0.894,1,20,"А-00957 Парктроник (4 датчика+коннекторы, голосовое,цветной светодиод. дисплей с цифр. табло) | А-01605 Парктроник PS-126U 6 датчиков+коннекторы | ДВГ-00146 Датчик массового расхода воздуха нов. обр. | ДВГ-00822 Датчик распред. вала 406 дв. ""Бош"" | ДВГ-01235 Датчик ДМРВ Г/У (дв.405,409) пленочн. Ев | ДВГ-01280 Датчик давления масла ЕВРО МАЗ | ДВГ-01974 Датчик+шланг мех. давления (масла МТЗ) | ЗЧМ-00450 Датчик температурный 2141 №ТМ-100А"
legacy_tormoznaya-sistema_prochaya-tormoznaya-sistema|тормозн|tormoznaya-sistema|prochaya-tormoznaya-sistema,prochaya-tormoznaya-sistema,GROUP_REVIEW,359,tormoznaya-sistema,prochaya-tormoznaya-sistema,0.82,1,20,"ГСМ-00827 VMPAUTO Набор смазок для тормозной системы BREMZ стик-пакет, 100мл | ГСМ-01198 LM Медный спрей для тормозных колодок 0, | ЗЧМ-00397 Комплект тормозных трубок Москвич 2141 | ЗЧМ-00482 Комплект тормозных трубок (Москвич 412-2 | ЗЧМ-00543 Барабан тормозной задний ИЖ-2126 | ЗЧМ-00663 Бачок глав. тормозного Москвич 2141 | И-01124 Набор для сведения тормозных цилиндров 12 пр. | ИН-00137 Тормозной суппорт задний Рено"
body_exterior|двер|kuzov-i-optika|kuzovnye-detali,Кузовные детали,GROUP_REVIEW,336,kuzov-i-optika,kuzovnye-detali,0.82,1,20,"А-00409 Обивка двери ВАЗ 2108-09 | А-00497 Комплект дверных накладок 2106 | А-00841 Обивка двери 2101-07 (цветная) | А-00933 Карманы дверные 2110 | А-01241 Обивка задней двери 21213 | А-01286 Обивка двери 2114 к-т | А-01673 Накладки двери 2113 наруж., к-т | А-01958 Подиум дверной 2110, Приора"
wiring|провод|elektrika|provodka,Проводка,GROUP_REVIEW,330,elektrika,provodka,0.899,1,20,"А-01070 Провода прикуривателя 700А 6 м (Россия) | А-01730 Провод к видеорегистратору, навигатору 2 м | А-01856 Провод зарядный IPHONES магн. | А-01944 Провода ""PROGRESS"" 400 А | А-02113 Провод микро-USB в коробке | А-02180 Провод прикуривания 500А | А-02281 Провода аккустич. Carlive MD-10GA | А-02315 АЛЛИГАТОР Провода прикуривания 100% ССА, морозостойкие, 600 А, 3 м"
cooling|радиатор|dvigatel-i-transmissiya|ohlazhdenie,Охлаждение,GROUP_REVIEW,323,dvigatel-i-transmissiya,ohlazhdenie,0.882,1,20,"А-00421 Решётка радиатора 2109, 2110 ""Турбо"" | А-00649 Решётка радиатора 2108-09 (с сеткой) | А-00808 Утеплитель радиатора ЗИЛ (новая кабина) | А-00826 Решётка радиатора 2115 (чёрная) | А-01987 Решетка радиатора Млечн. Путь 606, 2114 | ДВ-00301 Радиатор Приора 2172 с кондиц. и рессивер | ДВ-00431 Радиатор 2105 б/датчика | ДВ-00559 Радиатор ЛАДА-Гранта 2190"
brake_pads|колод|tormoznaya-sistema|tormoznye-kolodki,Тормозные колодки,GROUP_REVIEW,312,tormoznaya-sistema,tormoznye-kolodki,0.88,1,20,"ИН-00126 Установочный комплект задних колодок Рено | ИН-00204 Колодки задние Рено Меган № 481 (дисковые | ИН-00249 Колодки для иномарок передние №041 | ИН-00252 Колодки задние Шевроле-Лачетти № 125 | ИН-00254 Колодки передние Шевроле-Лачетти, Део-Нек | ИН-00259 Колодки передние Киа-Спектра № 196 | ИН-00262 Колодки передние Шевроле-Авео № 190 | ИН-00275 Колодки дисковые Audi A6 401 022B-SX=390"
legacy_dvigatel-i-transmissiya_kpp|кпп|dvigatel-i-transmissiya|kpp,kpp,GROUP_REVIEW,290,dvigatel-i-transmissiya,kpp,0.82,1,20,"Ж-00079 Поперечина КПП ГАЗ 3302 | ЗКГ-00015 Раздатка УАЗ-Хантер, 3160 КПП 5-ступ. | ЗКГ-00185 Крышка КПП УАЗ 5-ступ. верх. в сборе | ЗКГ-00232 Пластина КПП УАЗ-Хантер | ЗКГ-00233 Вал промежуточ. Г-3110,3302 Б+ КПП 5-ступ. (дв.406, Камминс 2,8) | ЗКГ-00303 Траверса КПП-5 ст. УАЗ в сборе | ЗКГ-00310 Рем. к-т КПП Зил-130, Бычок | ЗКГ-00316 Шпонка КПП ЗИЛ-130"
legacy_podveska_rulevye-nakonechniki|рулев|podveska|rulevye-nakonechniki,rulevye-nakonechniki,GROUP_REVIEW,261,podveska,rulevye-nakonechniki,0.82,1,20,ЗЧМ-00153 Рулевая колонка Москвич 2140 в сборе | ЗЧМ-00243 Пальцы рулевые в сборе 2141 | ЗЧМ-00304 Рулевая рейка 2141 | ЗЧМ-00322 Ремкомплект рулевых тяг Святогор | ЗЧМ-00498 Усы рулевой рейки 2141 (1 шт) | ЗЧМ-00643 Трапеция рулевая 2140-412 (импорт.) | ИН-00634 915748 Шпилька рулевой тяги AUDI 80/90 | К-00216 Болт рулевой рейки 2108
