family,status,count,share,target,examples
no_match,MANUAL_REVIEW,3650,0.1189,,"А-00131 Стоп сигналы | А-00140 Шумоизоляция черная 3 кв. м | А-00143 Трос 15 т ленточный с петлями ""Новые технологии"" | А-00170 Изолента | А-00176 Адаптер ""Samsung"" USB (оригинал)"
instrumenty,AUTO_READY,1328,0.0433,aksessuary/instrumenty,"И-00107 Зажим сварочный 175мм (полукр.захв.) | И-00140 Набор рожковых ключей | И-00144 Насадка для полировки меховая д.150 | И-00155 Захват гибкий магнитный с подсветкой | И-00183 Гайковерт легковой (17,19,21) черный"
detali-dvigatelya,AUTO_READY,1232,0.0401,dvigatel-i-transmissiya/detali-dvigatelya,ДВ-00356 Головка блока ВАЗ 2112 16 кл. дв. | ДВ-00440 Головка Блока 2108 (инжектор) | ДВ-00469 Головка блока Шеви-Нива Евро | ДВ-00524 Шестерня кол. вала ВАЗ дв. 1.6 | ДВ-00587 Головка блока Приора дв. 1.6 21126 в сбор
prochaya-elektrika,AUTO_READY,1040,0.0339,elektrika/prochaya-elektrika,А-01618 Зарядное устройство - 100 м | А-01811 EPLUTUS Зарядное устройство 226 | А-02177 Зарядное устройство с USB CU502 | Р-00069 Крышка трамблера Зил-130 | ЭО-00031 Печка в сборе 2105
Кузовные детали,GROUP_REVIEW,877,0.0286,kuzov-i-optika/kuzovnye-detali,А-00402 Пороги декоративные 2141 (2 шт) | А-00409 Обивка двери ВАЗ 2108-09 | А-00457 Утеплитель капота 2108 | А-00497 Комплект дверных накладок 2106 | А-00614 Пороги наружные 2110 штатные
shiny-i-diski,AUTO_READY,871,0.0284,aksessuary/shiny-i-diski,"Д-00011 Диск VENTI 1404 V 5,5/К14 4*98 ЕТ35 d 58,6 | Д-00016 Д-00016 | Д-00018 Д-00018 | Д-00020 Д-00020 | Д-00021 Диски литые ""ТехноЛайн"" д. 15 Шеви-Нива"
kuzovnye-detali,AUTO_READY,792,0.0258,kuzov-i-optika/kuzovnye-detali,"Ж-00077 Кожух облицовки фар ГАЗ 3302 (лев., прав.) | Ж-00086 Морда ГАЗ-3102 | Ж-00093 Лонжерон задний Волга | Ж-00105 Балка передняя Москвич 2141 дв. Москвич | Ж-00115 Лючок б/бака УАЗ-3163 правый"
Моторные масла,AUTO_READY,682,0.0222,filtry-i-masla/masla,"ГСМ-00004 LUXE 80W85 GL4 Масло трансмиссионное 4 л | ГСМ-00014 Масло для автоматических трансмиссий ZIC DCTF MULTI, 1 л | ГСМ-00031 Масло Кастрол 10w40 п/с 4л | ГСМ-00050 А/масло АВАНГАРД 10w40, 60 л | ГСМ-00102 Масло для коммерческого транспорта Лукойл АВАНГАРД 10w40,216,5 л"
zhidkosti,AUTO_READY,622,0.0203,filtry-i-masla/zhidkosti,"ГСМ-00033 MOTUL-Moto-7100 4T 10w40, 4 л 4-х такт. | ГСМ-00104 Лукойл Люкс 5w40 полусинтетика 1л | ГСМ-00157 Летний омыватель стекол концентр., 1 л H | ГСМ-00195 Антигель дизель ЛМ-1878, 1 л | ГСМ-00233 Литол 200 г ""VMP AUTO"""
detali-transmissii,GROUP_REVIEW,556,0.0181,dvigatel-i-transmissiya/detali-transmissii,ГСМ-01406 721-LUXE Шрус Супер 4МЛ (400 г/картридж) | ЗКГ-00111 Опора раздатки Соболь 2217 4х4 | ЗКГ-00146 Тяга раздатки УАЗ-452 (2 шт) | ЗКГ-00170 Вилка раздатки включения переднего моста | ЗКГ-00293 Шток раздатки УАЗ н. обр. перед. моста
sceplenie,GROUP_REVIEW,511,0.0167,dvigatel-i-transmissiya/sceplenie,"ДВГ-00773 ПГУ КАМАЗ | ЗЧМ-00019 Трос сцепления 2141 | ЗЧМ-00286 Набор втулок сцепления 2141 (3 шт) | ЗЧМ-00380 Набор сцепления 2141 | ЗЧМ-00483 Сцепление ""LUK"""
Выхлопная система,GROUP_REVIEW,499,0.0163,dvigatel-i-transmissiya/vyhlopnaya-sistema,"А-01576 Глушитель универсальный ""тюнинг"" | А-02455 Глушитель прямоточный А 014 | Г-00007 Глушитель 2121 Ижора | Г-00013 Резонатор 2121 | Г-00040 Глушитель УАЗ-469, 3151 ЛЮКС (нержавейка)"
Подшипники,GROUP_REVIEW,449,0.0146,podveska/podshipniki,ЗКГ-00230 Набор игольчатых подшипников КПП Таврия | ЗКГ-00400 Крышка подшипника вторичного вала МАЗ | ИН-00017 Подшипник задней ступицы Рено 1 шт | ИН-00104 подшипник 40210-4М400 | ИН-00286 Подшипник ступ. OPEL ASTRA/CORSA/KADET/VE
prochie-aksessuary,GROUP_REVIEW,445,0.0145,aksessuary/prochie-aksessuary,"А-00002 Антенна GS 2045 | А-00008 Книга ""Валдай"" | А-00022 Блокнот | А-00066 Наклейка лев, тигр, ангел | А-00087 Прикуриватель (тройник)"
Охлаждение,GROUP_REVIEW,441,0.0144,dvigatel-i-transmissiya/ohlazhdenie,"А-00004 Вентилятор ALCO | А-00421 Решётка радиатора 2109, 2110 ""Турбо"" | А-00649 Решётка радиатора 2108-09 (с сеткой) | А-00808 Утеплитель радиатора ЗИЛ (новая кабина) | А-00826 Решётка радиатора 2115 (чёрная)"
Прокладки,AUTO_READY,433,0.0141,dvigatel-i-transmissiya/prokladki,"ИН-00357 136.271Е прокладка клапанной крышки Daw | ИН-00424 61-25745-40 Прокладка ГБЦ Audi 80/100, | ИН-00680 773.700 Прокладка клапанной крышки RENA | ИН-00681 Р1МА011РМС Прокладка коллектора выпускног | ИН-00825 Р1G-С016 Прокладка клапанной крышки DAEWO"
Детали двигателя,GROUP_REVIEW,415,0.0135,dvigatel-i-transmissiya/detali-dvigatelya,ДВ-00070 Постель распредвала 2101-07 | ДВ-00174 Распредвал 2101 | ДВ-00197 Постель распредвала 2108 | ДВ-00218 Поршневая в сборе Приора 82.0 (Кострома) | ДВ-00232 Клапана ВАЗ 2110
Датчики,GROUP_REVIEW,389,0.0127,elektrika/datchiki,"А-00957 Парктроник (4 датчика+коннекторы, голосовое,цветной светодиод. дисплей с цифр. табло) | А-01605 Парктроник PS-126U 6 датчиков+коннекторы | ДВГ-00146 Датчик массового расхода воздуха нов. обр. | ДВГ-00822 Датчик распред. вала 406 дв. ""Бош"" | ДВГ-01235 Датчик ДМРВ Г/У (дв.405,409) пленочн. Ев"
Проводка,GROUP_REVIEW,383,0.0125,elektrika/provodka,"А-01070 Провода прикуривателя 700А 6 м (Россия) | А-01730 Провод к видеорегистратору, навигатору 2 м | А-01856 Провод зарядный IPHONES магн. | А-01944 Провода ""PROGRESS"" 400 А | А-02113 Провод микро-USB в коробке"
Ремни,AUTO_READY,375,0.0122,dvigatel-i-transmissiya/remni,ИН-00048 Ремень Гура Чери-Амулет 10X715 | ИН-00383 Ремень п/к 4РК813 | ИН-00385 Ремень клиновой AVX13х650La | ИН-00699 Ремень поликлиновый 6РК 1995 | ИН-00731 13х800 Ремень клин. генератора
