shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,explanation,correct,correctCategory,reviewerComment
А-00750,Зеркало хромированное с поворотником 2105-,kuzov-i-optika,povtoriteli,0.84,BLOCKED_CONFLICT,legacy_kuzov-i-optika_povtoriteli|поворотник|kuzov-i-optika|povtoriteli,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-00217,Ролик натяжителя ремня Газель,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
О-00347,Зеркало Газель (с поворотником и подогрево,kuzov-i-optika,povtoriteli,0.84,BLOCKED_CONFLICT,legacy_kuzov-i-optika_povtoriteli|поворотник|kuzov-i-optika|povtoriteli,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ОК-00006,ВР40003О7 Колодки тормозные дисковые,tormoznaya-sistema,tormoznye-kolodki,0.84,BLOCKED_CONFLICT,brake_pads|колодки|tormoznaya-sistema|tormoznye-kolodki,Найдены отрицательные признаки для лучшего кандидата.,,,
ЭОГ-00793,Фишка с проводом датчика скорости,elektrika,datchiki,0.84,BLOCKED_CONFLICT,sensor|датчик|elektrika|datchiki,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-00605,Защита фар Газель (новая фара),kuzov-i-optika,fary,0.84,BLOCKED_CONFLICT,headlight|фара|kuzov-i-optika|fary,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-00482,Ролик натяжителя ремня УАЗ,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-00897,Ролик натяжной Газ-Евро-3,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-00981,Ролик натяжной 405 дв. ЕВРО-3,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-01001,Ролик натяжной 406 дв. усил.,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-01449,Ролик натяжной 406 дв.,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-01466,Ролик натяжной автомат Газель,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-01729,"Ролик натяжной КАМАЗ, ПАЗ (дв. Камминс)",dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-01769,Ролик натяжной Г-3320 (дв. 402) с кроншт,dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВГ-02124,Ролик натяжной Г-3302 Б+ (дв.4216),dvigatel-i-transmissiya,detali-dvigatelya,0.84,BLOCKED_CONFLICT,legacy_dvigatel-i-transmissiya_detali-dvigatelya|двг|dvigatel-i-transmissiya|detali-dvigatelya,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
И-00004,Съемник сайлентблоков Ваз 01-07,podveska,saylentbloki,0.84,BLOCKED_CONFLICT,silentblock|сайлентблок|podveska|saylentbloki,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
И-00621,Съёмник подшипника генератора 2101-08,elektrika,generatory,0.84,BLOCKED_CONFLICT,generator|генератор|elektrika|generatory,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
И-00692,Ключ свечной карданный с пружиной *16 500м,aksessuary,instrumenty,0.84,BLOCKED_CONFLICT,tools|ключ|aksessuary|instrumenty,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
И-01892,"Съёмник сайлентблоков поперечной тяги УАЗ Патриот, Хантер",podveska,saylentbloki,0.84,BLOCKED_CONFLICT,silentblock|сайлентблок|podveska|saylentbloki,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
