reason,count,share,examples
group_confirmation,13163,0.4289,"А-00002 Антенна GS 2045 | А-00004 Вентилятор ALCO | А-00006 Коврики летние 2108, 2110, 2115 | А-00008 Книга ""Валдай"" | А-00014 Консоль 2106"
exact_prefix_rule,6323,0.206,"ГСМ-00033 MOTUL-Moto-7100 4T 10w40, 4 л 4-х такт. | ГСМ-00104 Лукойл Люкс 5w40 полусинтетика 1л | ГСМ-00157 Летний омыватель стекол концентр., 1 л H | ГСМ-00195 Антигель дизель ЛМ-1878, 1 л | ГСМ-00233 Литол 200 г ""VMP AUTO"""
domain_dictionary,4016,0.1309,"А-00052 Дворники BOSCH 65 1 шт | А-00412 Дворники 2101-07 № 19 (Франция) | А-00482 Дворники ""Бош"" б/каркасные 51,53,55 см | А-00561 Щетка - скребок большая | А-00576 Дворники ГАЗ-53 (2 шт)"
no_candidate,3650,0.1189,"А-00131 Стоп сигналы | А-00140 Шумоизоляция черная 3 кв. м | А-00143 Трос 15 т ленточный с петлями ""Новые технологии"" | А-00170 Изолента | А-00176 Адаптер ""Samsung"" USB (оригинал)"
family_rule,1587,0.0517,"А-00038 Защита задних фар 2105 (2 шт) | А-00274 Защита фар ""Шеви-Нива"" | А-00347 Щетка стеклоочистителя ЗИЛ-5301,4331 35.5 | А-00348 Щетка стеклоочистителя КАМАЗ 4310 сл108- | А-00381 Ручка двери (крючок)"
strong_multi_token,1376,0.0448,"А-00024 Ходовые огни 12-24 31-120, 2шт | А-00079 Очки фар 2106 хром | А-00080 Сигналы хромированные (3 шт) | А-00094 Сигналы воздушные 4 рожка | А-00111 Ручки дверные 2109-2115 (тюнинг), 4 шт"
weak_candidate,360,0.0117,"А-01446 Фильтр нулевого сопр.-я (тюнинг) | ГСМ-00025 Валера 9204 Жидкость ГУР п/синт. жёлтая -40*С 1 л | ГСМ-01212 Wynn's Промывочная жидкость д/бенз.двиг. | ГСМ-01213 Wynn's Промыв. жидкость д/диз.двиг. 1 л | ГСМ-01409 Незамерзающая жидкость ""Master ICE"" 5 л"
single_strong_token,151,0.0049,А-00147 Эмблема ЛАДА 1600 | А-00284 Эмблема 2401 | А-00324 Эмблема УАЗ | А-00326 Эмблема 3110 (2 шт) | А-00505 Зеркала с поворотником
close_candidates,35,0.0011,А-00750 Зеркало хромированное с поворотником 2105- | ДВГ-00217 Ролик натяжителя ремня Газель | О-00347 Зеркало Газель (с поворотником и подогрево | ЭОГ-00793 Фишка с проводом датчика скорости | А-00605 Защита фар Газель (новая фара)
negative_evidence,18,0.0006,А-00817 Ремни безопасности 2101-07 (2 шт) | А-01627 Ремни безопасности перед. 1118 | ДВ-00106 Клапан рециркуляции Нива в сборе | ДВ-00186 Диффузор салона 2105 | ОК-00006 ВР40003О7 Колодки тормозные дисковые
exact_article_rule,11,0.0004,"ГСМ-00828 WD-40 Смазка аэрозоль, 400 мл | ГСМ-00851 WD-40 Средство для тысячи применений 150 мл | ГСМ-01605 Смазка проникающая (аналог WD-40) LM40 LiquiMoly 8048, 0.2 л | ГСМ-01769 WD-40 Средство для тысячи применений, 300 мл | РГ-00004 Рем. к-т ГУРа Газель-Соболь н.обр."
