family,residualCount,activeAnalogCount,topActiveTargets,residualExamples
other,840,0,,"А-00278 Собака маленькая | А-00369 Люк | А-00404 Собака (очень большая) | А-00526 Обезьяна на присоске | А-00543 ""КОТО"" Разветвитель двойной 201 | А-00548 Тюнинг Нива-Тайга | А-00573 Прожектор | А-00616 Аппликатор ""Доктор ВАКС"""
socket_head_fasteners,40,37,aksessuary/instrumenty:34 | dvigatel-i-transmissiya/detali-dvigatelya:1 | dvigatel-i-transmissiya/kpp:1 | elektrika/datchiki:1,КГ-00431 DIN912 M10*11 с внутренним шестигранником | КГ-00422 DIN912 M10*25 с внутренним шестигранником | КГ-00423 DIN912 M10*35 с внутренним шестигранником | КГ-00424 DIN912 M10*45 с внутренним шестигранником | КГ-00425 DIN912 M10*55 с внутренним шестигранником | КГ-00426 DIN912 M10*0 с внутренним шестигранником | КГ-00427 DIN912 M10*65 с внутренним шестигранником | КГ-00428 DIN912 M10*70 с внутренним шестигранником
pneumatic_fittings,38,1,kuzov-i-optika/kuzovnye-detali:1,КГ-01086 Соединитель шлангов Г-образный метал. д.1 | КГ-00160 Соединитель шлангов прямой д.12 | КГ-00175 Соединитель шлангов прямой д.6 | КГ-00331 Соединитель шлангов переходной 8х10 | КГ-00467 Соединитель шлангов переходной 10х12 | КГ-00611 Соединитель шлангов 27х27 | КГ-00674 Соединитель шлангов д.12х12 | КГ-00675 Соединитель шлангов метал 14х14
screws,33,4,aksessuary/instrumenty:2 | kuzov-i-optika/bampery:1 | kuzov-i-optika/podkrylki-i-bryzgoviki:1,К-00054 Саморезы Н-2093 | К-00078 Саморезы SK-0985 | К-00102 Саморезы SK-0986 | К-00113 Саморезы SK-5263 | К-00127 Саморезы SK-0992 | К-00146 Саморез длинный | К-00148 Саморезы SK-0991 | К-00152 Саморезы SK-5129
caps_plugs,31,403,dvigatel-i-transmissiya/detali-dvigatelya:88 | dvigatel-i-transmissiya/ohlazhdenie:37 | kuzov-i-optika/zamki-i-ruchki:33 | aksessuary/instrumenty:23 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:22 | filtry-i-masla/masla:19 | aksessuary/prochie-aksessuary:14,ЗЧМ-00186 Крышка поддона Москвич | К-00422 Заглушка воздуховода 2110 | К-00457 Заглушка под мовиль (пластмасса) | А-00460 Заглушка бокса 2107 нижняя | А-00689 Заглушка радиобокса 2107 | А-01561 Заглушка-удлинитель ремня | А-02301 Заглушка-переходник ремня (с логотипом) 1 шт | ДВ-00432 Заглушка вместо трамб. 2108
hoses,23,982,dvigatel-i-transmissiya/detali-dvigatelya:351 | tormoznaya-sistema/prochaya-tormoznaya-sistema:153 | dvigatel-i-transmissiya/ohlazhdenie:125 | aksessuary/instrumenty:111 | kuzov-i-optika/kuzovnye-detali:55 | dvigatel-i-transmissiya/sceplenie:39 | podveska/ressory:36 | dvigatel-i-transmissiya/nasosy:30,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | КГ-00287 Насадка на шланг подкачки | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе | Р-00075 Шланги воздушные | А-00339 Шланг-груша силиконовый | Г-00347 Патрубок (инжектор крив.) 5320 КАМАЗ
fittings,20,272,tormoznaya-sistema/prochaya-tormoznaya-sistema:107 | aksessuary/instrumenty:32 | dvigatel-i-transmissiya/kpp:21 | filtry-i-masla/maslyanye-filtry:19 | kuzov-i-optika/kuzovnye-detali:16 | dvigatel-i-transmissiya/ohlazhdenie:12 | aksessuary/prochie-aksessuary:10 | dvigatel-i-transmissiya/detali-dvigatelya:9,"РДГ-00065 Тройник ручки УАЗ | ИН-00171 Штуцер прокачки М6*1*29 (AUDI,BMW,SAABVW) | ИН-00172 Штуцер прокачки М6*1*38 (AUDI,SUBARU,VW) | ИН-00173 Штуцер прокачки М8*1*32 (FORD,MAZDA) | ИН-00174 Штуцер прокачки М8*1*33 (MAZDA,OPEL) | ИН-00175 Штуцер прокачки М8*1*38 (MAZDA) | ИН-01561 87703 Штуцер прокачки М7х1 | К-00035 Штуцер прокачки ВАЗ 01-08"
personal_accessories,15,4,aksessuary/chehly:2 | aksessuary/instrumenty:1 | elektrika/signalizatsii:1,"А-00246 Смайлики силикон, 4 шт | А-00502 Брелок | А-00511 Перчатки | А-01036 Брелок | А-01280 Перчатки зимние п/шерсть черные с ПВХ | А-01287 Бумажник водителя BLACK натур. кожа | А-02108 Брелок ""Россия"" | А-02200 FELIX Перчатки хлопковые с ПВХ-покрытием 10 класс"
bolts,14,407,aksessuary/shiny-i-diski:71 | dvigatel-i-transmissiya/detali-dvigatelya:68 | dvigatel-i-transmissiya/detali-transmissii:30 | podveska/ressory:21 | kuzov-i-optika/kuzovnye-detali:15 | dvigatel-i-transmissiya/kpp:14 | elektrika/generatory:13 | tormoznaya-sistema/prochaya-tormoznaya-sistema:12,К-00341 Болт салазки сиденья 2110 | К-00002 Болт крепления сиденья ВАЗ 01-07 | К-00196 Болт регулир. фар ВАЗ (2 шт) | К-00242 Болт прокачки ВАЗ (латунь) | К-00472 Болт кронштейна приемной трубы 2101-07 | К-00498 Болт М5х10 с гров. регулятора тормозов | К-00519 Болт М8х16 с буртом салазок кресла 2108-09 | К-00528 Болт М8х22.3 салазки кресла 2110
ventilation,12,117,dvigatel-i-transmissiya/detali-dvigatelya:61 | elektrika/prochaya-elektrika:26 | aksessuary/instrumenty:6 | dvigatel-i-transmissiya/remni:6 | dvigatel-i-transmissiya/ohlazhdenie:4 | elektrika/datchiki:4 | elektrika/provodka:3 | kuzov-i-optika/kuzovnye-detali:2,"А-00004 Вентилятор ALCO | А-00979 Вентилятор ""Valgo"" | ОК-00319 Кожух электровентилятора ОКА | А-00372 Вентилятор | А-00554 Вентилятор бол. 12В/24В | А-00615 Вентилятор (Россия) | А-01102 Вентилятор автомобил. JT Comfort 9041J 12В 5"" | А-02339 Вентилятор двойной JT Comfort 8062J 12В"
body_clips,11,39,kuzov-i-optika/kuzovnye-detali:23 | aksessuary/instrumenty:4 | aksessuary/prochie-aksessuary:3 | kuzov-i-optika/podkrylki-i-bryzgoviki:3 | kuzov-i-optika/bampery:2 | kuzov-i-optika/moldingi:2 | tormoznaya-sistema/prochaya-tormoznaya-sistema:2,"К-00611 Набор пистонов ВАЗ-Калина 1118 | К-00189 Пистоны | К-00222 Пистоны | К-00355 Пистоны потолка 2110 | К-00610 Набор пистонов ВАЗ-2113, 2114, 2115 | К-00612 Набор пистонов Шеви Нива 2123 | К-00631 Пистоны универсал | К-00682 Пистоны для иномарок (за 1 шт)"
bushings,11,129,podveska/prochaya-podveska:32 | dvigatel-i-transmissiya/detali-dvigatelya:18 | podveska/amortizatory:14 | dvigatel-i-transmissiya/detali-transmissii:11 | podveska/ressory:8 | dvigatel-i-transmissiya/kpp:6 | podveska/rychagi:6 | dvigatel-i-transmissiya/sceplenie:5,ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00040 Втулка грибка трамблера | ЗЧМ-00065 Втулка маятника Москвич | ЗЧМ-00572 Втулка маятника Москвич (силикон) | К-00137 Втулка реактивных тяг ВАЗ | К-00622 Втулка для эмблем
seat_parts,9,19,kuzov-i-optika/kuzovnye-detali:8 | elektrika/prochaya-elektrika:5 | aksessuary/chehly:4 | aksessuary/kovriki:1 | aksessuary/prochie-aksessuary:1,"А-02175 Накладки сидений PSV KROCUS (все сидения) | А-01025 ""HR"" К-т накидок на все сиденья ""ROMB PLUS"" | А-02154 Накидка на сиденье с функцией подогрева AVS HC-175,180 | А-02393 Защита спинки сиденья Автобра 5109 | КР-00266 Ремкомплект гребенок сиденья 2101-07 (1 ш | КР-00314 Защелка заднего сиденья 2108 | КР-00318 Облицовка сиденья 2101-07 | КР-00335 Крепление сиденья 2108 (за 2 шт)"
conditioner_parts,8,40,filtry-i-masla/zhidkosti:12 | dvigatel-i-transmissiya/ohlazhdenie:8 | dvigatel-i-transmissiya/remni:7 | elektrika/generatory:3 | podveska/podshipniki:3 | dvigatel-i-transmissiya/detali-dvigatelya:2 | elektrika/prochaya-elektrika:2 | dvigatel-i-transmissiya/kpp:1,ДВ-00637 Трубки кондиционера до 2015 г. (к-т) 2190 | ДВ-00638 Трубки кондиционера Приора 2170 (к-т) | ДВ-00639 Трубки кондиционера Калина ст. обр. (к-т) | ДВ-00640 Трубки кондиционера Нива Урбан (к-т) | ДВ-00641 Трубки кондиционера Нива 2123 ст. обр. (к | ДВ-00642 Трубки кондиционера Шеви Нива 2123 н. обр | ДВ-00645 К-т трубок кондиционера Калина после 2015 | ДВ-00685 Комплект трубок кондиционера Веста
nuts,8,111,aksessuary/shiny-i-diski:20 | podveska/stupicy:20 | podveska/rulevye-nakonechniki:19 | dvigatel-i-transmissiya/detali-transmissii:10 | podveska/ressory:7 | dvigatel-i-transmissiya/sceplenie:4 | podveska/podshipniki:4 | dvigatel-i-transmissiya/detali-dvigatelya:3,"К-00015 Гайка М 8 д. приёмной трубы ВАЗ 01-08 | К-00305 Гайка приемной трубы на 2110 | К-00574 Гайка сиденья 2101-07 М8 квадрат | К-00923 Гайка М8*1,25 приёмной трубы с буртиком ""Веста"", ""Ларгус"" | КГ-00016 Гайка приемной трубы Волга | КГ-00069 Гайка приемной трубы ГАЗ | КГ-00142 Гайка стопорная блока шестерен ГАЗ-53 | КГ-00784 Гайка М10*1.25 приемной трубы КАМАЗ (лату"
driver_electronics,7,6,elektrika/prochaya-elektrika:6,"А-01058 Рация ""АЛАН-100"" | А-01099 Рация ""Мега-Джет"" 300,100 | А-01159 Рация ""Алан-48 плюс"" | А-01437 Рация OPTIM 270 | А-01142 Рация MEGA SET 300 | А-01205 Рация ""ALBRECHT"" 4200 | А-01536 Рация MOTOROLLA Т-50"
tow_hardware,7,0,,КГ-01323 Скоба такелажная М 10 | КГ-01324 Скоба такелажная М 12 | КГ-01325 Скоба такелажная М 14 | КГ-01326 Скоба такелажная М 16 | КГ-01327 Скоба такелажная М 18 | КГ-01328 Скоба такелажная М 20 | КГ-01329 Скоба такелажная М 22
electrical_consumer,6,24,elektrika/prochaya-elektrika:9 | aksessuary/instrumenty:4 | aksessuary/prochie-aksessuary:4 | elektrika/provodka:4 | dvigatel-i-transmissiya/detali-dvigatelya:2 | podveska/rulevye-nakonechniki:1,"А-01332 ""Банка"" радио+флешка (воспроизв.) | А-01460 Тепловентилятор автомобильный AVS Comfort ТЕ-310 12В (2 реж.) 150W | А-01522 KOTO EFB-211 Тепловентилятор | А-01650 Флешка 8 Гб | А-01687 USB флешка 32 Гб | А-02382 ЗУ Eplutus-211 36W 2 USB"
ignition_distributor,5,63,elektrika/prochaya-elektrika:45 | dvigatel-i-transmissiya/detali-dvigatelya:7 | podveska/podshipniki:4 | dvigatel-i-transmissiya/prokladki:3 | aksessuary/instrumenty:2 | dvigatel-i-transmissiya/kpp:1 | filtry-i-masla/masla:1,ЗЧМ-00072 Уголёк трамблера Москвич | ЗЧМ-00465 Манжет трамблера Москвич (1 шт) | ИН-00222 Трамблер Дэу-Нексиа | ИН-00971 Трамблёр Дэу Матиз | К-00129 Уголёк трамблера ВАЗ 01-07
studs,5,64,aksessuary/shiny-i-diski:17 | dvigatel-i-transmissiya/detali-dvigatelya:15 | dvigatel-i-transmissiya/kpp:8 | dvigatel-i-transmissiya/toplivnaya-sistema:6 | podveska/stupicy:5 | aksessuary/instrumenty:2 | dvigatel-i-transmissiya/detali-transmissii:2 | dvigatel-i-transmissiya/nasosy:2,КГ-00601 Шпилька приемной трубы ЗИЛ-130 | К-00572 Шпилька М10*28 подвески дв. 2108-2110 | К-00853 Шпилька М10*47 крепл. подвески дв.-ля КАЛИНА | КГ-00290 Шпилька 10*30 картера сцепл. (шаг 1Х1.5) | КГ-00379 Шпилька М16*45*1.5 передней подвески Кам
clamps,4,106,dvigatel-i-transmissiya/vyhlopnaya-sistema:34 | podveska/pruzhiny:20 | dvigatel-i-transmissiya/detali-transmissii:15 | aksessuary/instrumenty:7 | kuzov-i-optika/kuzovnye-detali:7 | dvigatel-i-transmissiya/ohlazhdenie:4 | podveska/rulevye-nakonechniki:4 | dvigatel-i-transmissiya/toplivnaya-sistema:3,"ЗЧМ-00376 Хомуты приемной трубы 2141 | ЗЧМ-00507 Хомут приёмной трубы (Святогор) | КГ-00143 Хомут патрубков КАМАЗ | КГ-01259 Хомут приёмной трубы силовой Г-3302 NEXT (дв. Камминс 2,8;3,8) Е-4"
