status,shopCode,name,category,subcategory,confidence,source,family,reasonCode,reason,evidence,negativeEvidence
GROUP_REVIEW,ИН-01533,"Гайка крепления колеса М14х1,5",aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, legacy:strong_multi_token.",family:wheel_fasteners | token:гайка | token:колес | pattern:strong_multi_token | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00533,Шайбы топливные д.10,dvigatel-i-transmissiya,toplivnaya-sistema,0.87,weak_group_candidate,Топливная система,group_confirmation,"Предложена узкая группа ""Топливная система"" для быстрого подтверждения: term:топливн.",family:fuel_system | token:топливн | validation:normalizer:4:useful_tokens,
MANUAL_REVIEW,ХСГ-01323,"Глав. пара дифференциала Г-3302,2705 н/о 41/8 зуб. мел. шлиц с гайкой",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
GROUP_REVIEW,ХСГ-01325,"Муфта включения перед. моста УАЗ все модели ""redBTR"" (серия Х) 2 шт к-т",dvigatel-i-transmissiya,detali-transmissii,0.887,weak_group_candidate,Детали мостов,group_confirmation,"Предложена узкая группа ""Детали мостов"" для быстрого подтверждения: term:мост, term:моста, context:перед.",family:axle_bridge_parts | token:мост | token:моста | token:перед | validation:normalizer:11:useful_tokens,
GROUP_REVIEW,А-00536,ALCO Переходник с прикурив. USB,elektrika,prochaya-elektrika,0.877,weak_group_candidate,USB-питание и автомобильные переходники,group_confirmation,"Предложена узкая группа ""USB-питание и автомобильные переходники"" для быстрого подтверждения: term:usb, term:переходник, context:прикурив.",family:usb_power_accessories | token:usb | token:переходник | token:прикурив | validation:normalizer:5:useful_tokens,
MANUAL_REVIEW,А-00743,Карабин D 10 мм с гайкой,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-02301,Заглушка-переходник ремня (с логотипом) 1 шт,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
DO_NOT_PUBLISH,АК-00238,Конус-переходник,,,0,do_not_publish,do_not_publish,UNKNOWN_PRODUCT_TYPE,Тип товара не распознан по текущим данным. Товар не публикуется до ручного исправления.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE",
GROUP_REVIEW,Г-00060,Труба соединительная ПАЗ-32053 с фланцами,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:100% | token:паз- | token:труба | token:фланцами,
GROUP_REVIEW,Г-00193,Труба соединительная ПАЗ-3205,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:100% | token:паз- | token:труба,
