groupId,label,count,target,confidence,homogeneity,reviewSampleSize,riskFlags,examples,outliers
other_products_fittings|rings|rings|ves-assortiment|other-products,Прочие товары: универсальные фитинги и соединители,38,ves-assortiment/other-products,0.9117,1,12,,ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ИН-00298 12409F Кольцо уплотнительное | ИН-00880 Кольцо уплотнительное | ИН-01203 JP1121101600 Кольцо уплотнительное | ИН-01242 771-961F Кольцо уплотнительное 61х77 | КГ-00634 Кольцо газового стыка уплотнит. (фторопла | КГ-00635 Кольцо газового стыка уплотнит. (металл) | КГ-01210 Кольцо уплотнит. РХХ УАЗ (дв.4091),
engine_valves|other|клапан|dvigatel-i-transmissiya|detali-dvigatelya,Детали двигателя,36,dvigatel-i-transmissiya/detali-dvigatelya,0.8867,1,12,,"ДВ-00757 К-т клапанов выпускных 2108-1007012-01-Ч ЧАМЗ немагнит. | ДВ-00009 Втулки клапанные SM 2101-07 | ДВ-00010 Втулки клапанные SM 2108 | ДВ-00042 Регулятор клапанов 2101-07 | ДВ-00047 Втулки клапанные 2101-08 (1 шт) | ДВ-00314 Клапан 2108 выпуск. (Луганск) | ДВ-00368 Клапан выпускной АМР 2101-07, за 1 шт | ДВ-00369 Клапан выпускной АМР 2108-09, за 1 шт",
other_products_fittings|fittings|fittings|ves-assortiment|other-products,Прочие товары: универсальные фитинги и соединители,28,ves-assortiment/other-products,0.9114,1,12,near_threshold_or_close_candidate,КГ-00765 Штуцер-соединитель угловой под 22 ключ | КГ-00766 Штуцер-соединитель угловой под 24 ключ | КГ-00767 Штуцер-соединитель угловой под 27 ключ | КГ-00768 Штуцер-соединитель угловой под 32 ключ | КГ-01166 Штуцер-соединитель латунь д.16 | КГ-01021 Штуцер-соединитель д. 10х10 | КГ-01023 Штуцер-соединитель д. 10х14 | РГ-00359 Штуцер-тройник Ф25 №1965,К-00861 Кольцо стопорное для вал. ф4 быстросъёмное | К-00862 Кольцо стопорное для вал. ф5 быстросъёмное | К-00864 Кольцо стопорное для вал. ф8 быстросъёмное | К-00865 Кольцо стопорное для вал. ф10 быстросъёмное | К-00866 Кольцо стопорное для вал. ф12 быстросъёмное | К-00867 Кольцо стопорное для вал. ф15 быстросъёмное | К-00871 Кольцо стопорное для вал. ф2 быстросъёмное | К-00872 Кольцо стопорное для вал. ф3 быстросъёмное
wiper|other|стеклооч|aksessuary|prochie-aksessuary,Стеклоочистители,28,aksessuary/prochie-aksessuary,0.912,1,12,,"ЗЧМ-00138 Мотор стеклоочистителя 2141 | ЗЧМ-00611 Мотор стеклоочистителя 2140-412 | ИН-00214 Трапеция стеклоочистителя Дэу-Нексиа | А-00350 Лента стеклоочистителя ХОРС 54см | А-00532 Лента стеклоочистителя ХОРС 36см | А-00879 Лента стеклоочистителя ""Хорс"" 61 см | А-01342 Лента стеклоочистителя ""Хорс"" 51, 61 см | А-01994 Лента щёток стеклоочист. в блистере 71 см, к-т 2 шт, профиль ""БОШ""",
exhaust|other|гофра|dvigatel-i-transmissiya|vyhlopnaya-sistema,Выхлопная система,24,dvigatel-i-transmissiya/vyhlopnaya-sistema,0.89,1,12,,Г-00155 Гофра ф22 | Г-00255 Гофра ремонтная | Г-00414 Гофра 40х330 | Г-00509 Гофра ф38 | Г-00554 Гофра 60*100 3х-слойн.серии 311.InterLock | Г-00555 Гофра 60*150 3х-слойн.серии 311.InterLock | Г-00556 Гофра 60*200 3х-слойн.серии 311.InterLock | Г-00557 Гофра 60*250 3х-слойн.серии 311.InterLock,
misc_accessories|other|пленка|aksessuary|prochie-aksessuary,Прочие аксессуары,18,aksessuary/prochie-aksessuary,0.85,1,8,,"А-00401 Пленка тонирующая с переходом | А-01574 MTF Пленка PREMIUM 0,5м | А-01575 MTF Пленка PREMIUM 0,75м | А-02109 Плёнка тонирров. MTF 1мх3м | А-02137 TOR Маскировочная пленка 1100ммх33мм с клеящей лентой (стат. эффект) | А-00010 Плёнка с переходом 75 см | А-00097 Плёнка тонирующая | А-00277 Пленка тонирующая 5%, 0,5 м MTF (Корея)",
washer_reservoir|other|бачок-омывателя|kuzov-i-optika|kuzovnye-detali,Бачки омывателя,17,kuzov-i-optika/kuzovnye-detali,0.912,1,8,,"ДВ-00129 Бачок омывателя 2101-07 | ДВ-00226 Бачок омывателя двойной пустой ВАЗ | А-00663 Бачок омывателя зад. Нива, 2104, Ока | ДВ-00059 Бачок омывателя 2101 (пустой) | ДВ-00220 Бачок омывателя 2108 | ДВ-00252 Бачок омывателя 21214 | ДВ-00279 Бачок омывателя 21213 | ДВ-00333 Бачок омывателя 2110",
wheel_caps|other|колпаки|aksessuary|shiny-i-diski,Колпаки колес,17,aksessuary/shiny-i-diski,0.9049,1,8,,"А-01083 Колпаки декоративные малые ВАЗ (1 шт) | А-00785 Колпаки хромированные д.15 | А-01052 Колпаки Каррера плюс 13/14 | А-01325 Колпаки Рено д.15,14 (1 шт) | А-00784 Колпаки хромированные д.16 ЛЕМАНС | А-01410 Колпаки ""Леманс"" 13,14 | А-01973 Колпаки МИГ БЕЛЫЙ (Газель) 16(10), 4 шт | А-01013 Колпаки Наскар Золотой 13",
pneumatic_line_fittings|pneumatic_fittings|наружная-резьба|tormoznaya-sistema|prochaya-tormoznaya-sistema,Пневмофитинги и соединители шлангов,16,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.902,1,8,,"КГ-01176 Фурнитура наружная резьба D=6 М 20*1.5 0759 | КГ-01097 Фурнитура D6 М10Х1 наружная резьба | КГ-01175 Фурнитура наружная резьба D=6 М 8*1 0796 | КГ-01177 Фурнитура наружная резьба D=8 М8*1 | КГ-01178 Фурнитура наружная резьба D=8 М 12*1,25 | КГ-01179 Фурнитура наружная резьба D=8 М 16*1,5 | КГ-01180 Фурнитура наружная резьба D=8 М 20*1,5 0760 | КГ-01181 Фурнитура наружная резьба D=8 М 22*1,5",
electrical_misc|other|компьютер|elektrika|prochaya-elektrika,Прочая электрика,16,elektrika/prochaya-elektrika,0.85,1,8,,"А-00161 Компьютер ""Штат"" 2110 (голосовой) | А-00585 Компьютер 2115 (говорящий) | А-00759 Компьютер 2115 | А-01051 Компьютер ШТАТ н/о 2107 | А-00205 Компьютер маршрутный 2110 ""Штат"" мультидис | А-00283 Компьютер ""Штат"" 5К-21 Нива | А-00308 Компьютер ""Штат Х1"" 2110,Самара-2, Калина, | А-00531 Компьютер для 406 дв.",
