status,shopCode,name,category,subcategory,confidence,source,family,reasonCode,reason,evidence,negativeEvidence
AUTO_READY,А-00176,"Адаптер ""Samsung"" USB (оригинал)",ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:адаптер, phrase:адаптер.",family:other_products_fittings | token:адаптер | phrase:адаптер | validation:normalizer:5:useful_tokens,
AUTO_READY,А-00370,Скоба д.16,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:скоба, phrase:скоба.",family:other_products_clamps_brackets | token:скоба | phrase:скоба | validation:normalizer:3:useful_tokens,
AUTO_READY,А-01725,Переходник с 220V на USB,ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:переходник, phrase:переходник.",family:other_products_fittings | token:переходник | phrase:переходник | validation:normalizer:4:useful_tokens,
AUTO_READY,А-01774,Скоба троса 12 мм,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:скоба, phrase:скоба.",family:other_products_clamps_brackets | token:скоба | phrase:скоба | validation:normalizer:4:useful_tokens,
AUTO_READY,А-01775,Скоба троса 15 мм,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:скоба, phrase:скоба.",family:other_products_clamps_brackets | token:скоба | phrase:скоба | validation:normalizer:4:useful_tokens,
AUTO_READY,Г-00029,Тройник КАМАЗ Евро,ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:тройник, phrase:тройник.",family:other_products_fittings | token:тройник | phrase:тройник | validation:normalizer:4:useful_tokens,
AUTO_READY,ЗЧМ-00062,Тройник патрубков Москвич,ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:тройник, phrase:тройник.",family:other_products_fittings | token:тройник | phrase:тройник | validation:normalizer:4:useful_tokens,
AUTO_READY,ЗЧМ-00103,"Муфта 3, 4-ой передачи 2140 (пустая)",ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,close_candidates_or_weak_gap,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:муфта, phrase:муфта.",family:other_products_fittings | token:муфта | phrase:муфта | validation:normalizer:5:useful_tokens,
AUTO_READY,ЗЧМ-00109,Тройник головки Москвич,ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:тройник, phrase:тройник.",family:other_products_fittings | token:тройник | phrase:тройник | validation:normalizer:4:useful_tokens,
AUTO_READY,ЗЧМ-00361,Болт балки Москвич (к-т 4 шт.),ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:6:useful_tokens,
AUTO_READY,ЗЧМ-00416,Болт развала 2141,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:3:useful_tokens,
AUTO_READY,ЗЧМ-00418,Тройник вакуума 2141,ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:тройник, phrase:тройник.",family:other_products_fittings | token:тройник | phrase:тройник | validation:normalizer:3:useful_tokens,
AUTO_READY,ЗЧМ-00524,Гайка шпилек гол. блока Москвич,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:гайка, phrase:гайка.",family:other_products_fasteners | token:гайка | phrase:гайка | validation:normalizer:6:useful_tokens,
AUTO_READY,ЗЧМ-00588,Болт крышки в/очистителя 2141,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,other_products_fallback,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:4:useful_tokens,
AUTO_READY,ИН-00307,"107 219 685 Хомут 54,5мм",ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:хомут, phrase:хомут.",family:other_products_clamps_brackets | token:хомут | phrase:хомут | validation:normalizer:3:useful_tokens,
AUTO_READY,ИН-00310,"107 222 685 Хомут 59, 5 мм",ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:хомут, phrase:хомут.",family:other_products_clamps_brackets | token:хомут | phrase:хомут | validation:normalizer:3:useful_tokens,
AUTO_READY,ИН-00448,Фиксатор,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:фиксатор, phrase:фиксатор.",family:other_products_clamps_brackets | token:фиксатор | phrase:фиксатор | validation:normalizer:2:useful_tokens,
AUTO_READY,ИН-00740,"258-943 Болт системы выпуска Nissan, Lo",ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:7:useful_tokens,
AUTO_READY,К-00001,Гайка м 8 сапуна ВАЗ 01-07,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,other_products_fallback,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:гайка, phrase:гайка.",family:other_products_fasteners | token:гайка | phrase:гайка | validation:normalizer:5:useful_tokens,
AUTO_READY,К-00065,Скоба личинок 01-07,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:скоба, phrase:скоба.",family:other_products_clamps_brackets | token:скоба | phrase:скоба | validation:normalizer:4:useful_tokens,
AUTO_READY,К-00151,Болт М 5 малый крест,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,other_products_fallback,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:4:useful_tokens,
AUTO_READY,К-00193,Болт развала 2108,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:3:useful_tokens,
AUTO_READY,К-00375,Скоба троса воздушной заслонки,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:скоба, phrase:скоба.",family:other_products_clamps_brackets | token:скоба | phrase:скоба | validation:normalizer:5:useful_tokens,
AUTO_READY,К-00620,Хомут норма 170*190,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:хомут, phrase:хомут.",family:other_products_clamps_brackets | token:хомут | phrase:хомут | validation:normalizer:4:useful_tokens,
AUTO_READY,К-00621,"Хомут норма 180*200, 190*210, 200*220, 210",ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other_products_fallback,"Универсальные хомуты, зажимы и держатели без системного контекста относятся к Прочим товарам. Сигналы согласованы: term:хомут, phrase:хомут.",family:other_products_clamps_brackets | token:хомут | phrase:хомут | validation:normalizer:6:useful_tokens,
AUTO_READY,К-00642,"Гайка М3 ""барашек""",ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,other_products_fallback,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:гайка, phrase:гайка.",family:other_products_fasteners | token:гайка | phrase:гайка | validation:normalizer:4:useful_tokens,
AUTO_READY,К-00644,"Гайка М5 ""барашек""",ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,other_products_fallback,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:гайка, phrase:гайка.",family:other_products_fasteners | token:гайка | phrase:гайка | validation:normalizer:4:useful_tokens,
AUTO_READY,К-00685,Болт 12х1.25 л/д хром,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,other_products_fallback,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:4:useful_tokens,
AUTO_READY,КГ-00076,Болт крепления чашек ГАЗ,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:болт, phrase:болт.",family:other_products_fasteners | token:болт | phrase:болт | validation:normalizer:5:useful_tokens,
AUTO_READY,КГ-00225,Штуцер Зил-Бычок № 300503,ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:штуцер, phrase:штуцер.",family:other_products_fittings | token:штуцер | phrase:штуцер | validation:normalizer:3:useful_tokens,
AUTO_READY,КГ-00519,Штуцер с резьбой д.10 длинный,ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,other_products_fallback,"Универсальные фитинги, переходники и соединители без назначения к системе относятся к Прочим товарам. Сигналы согласованы: term:штуцер, phrase:штуцер.",family:other_products_fittings | token:штуцер | phrase:штуцер | validation:normalizer:5:useful_tokens,
AUTO_READY,КГ-00598,Шпилька коллектора ЗИЛ-130 короткая,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:шпилька, phrase:шпилька.",family:other_products_fasteners | token:шпилька | phrase:шпилька | validation:normalizer:5:useful_tokens,
AUTO_READY,КГ-00599,Шпилька коллектора ЗИЛ-130 длин.,ves-assortiment,other-products,0.96,other_products_fallback,Прочие товары: универсальные метизы,close_candidates_or_weak_gap,"Универсальные метизы без автомобильного узлового контекста отправляются в скрытую подкатегорию Прочие товары. Сигналы согласованы: term:шпилька, phrase:шпилька.",family:other_products_fasteners | token:шпилька | phrase:шпилька | validation:normalizer:5:useful_tokens,
