status,shopCode,name,category,subcategory,confidence,source,family,reasonCode,reason,evidence,negativeEvidence
GROUP_REVIEW,А-01893,Кольца простав. динамиков 16 см,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольца.",family:other_products_fittings | token:кольца | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,А-01897,Кольца для динамиков 16 обшитые,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольца.",family:other_products_fittings | token:кольца | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,ЗЧМ-00436,Флянец эластичной муфты 2126,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:муфты.",family:other_products_fittings | token:муфты | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,ЗЧМ-00629,Кольцо гильз Москвич 1.7 (к-т 4 шт),ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо.",family:other_products_fittings | token:кольцо | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,ИН-00288,29752F [N90765301] кольцо уплотнит. сист,ves-assortiment,other-products,0.918,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо, optional:уплотн.",family:other_products_fittings | token:кольцо | validation:optional:уплотн | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,К-00625,Набор реактивных болтов 2101-07,ves-assortiment,other-products,0.92,weak_group_candidate,Прочие товары: универсальные метизы,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные метизы"" для быстрого подтверждения: term:болт.",family:other_products_fasteners | token:болт | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,К-00669,Набор крепления кронштейна растяжки 2108-0,ves-assortiment,other-products,0.9,weak_group_candidate,Прочие товары: универсальные хомуты и держатели,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные хомуты и держатели"" для быстрого подтверждения: term:кронштейн, term:крепления.",family:other_products_clamps_brackets | token:кронштейн | token:крепления | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-01021,Штуцер-соединитель д. 10х10,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:штуцер.",family:other_products_fittings | token:штуцер | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,КГ-01023,Штуцер-соединитель д. 10х14,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:штуцер.",family:other_products_fittings | token:штуцер | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,ОК-00109,Втулка скобы,ves-assortiment,other-products,0.9,weak_group_candidate,Прочие товары: универсальные хомуты и держатели,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные хомуты и держатели"" для быстрого подтверждения: term:скобы.",family:other_products_clamps_brackets | token:скобы | validation:normalizer:3:useful_tokens,
GROUP_REVIEW,ОК-00284,Кольцо грязезащитное внутреннее ОКА,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо.",family:other_products_fittings | token:кольцо | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,РГ-00207,Кольцо резиновое д. 80,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо.",family:other_products_fittings | token:кольцо | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,РГ-00210,Кольцо резиновое д. 125,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо.",family:other_products_fittings | token:кольцо | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,РГ-00241,Кольцо д. 83,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо.",family:other_products_fittings | token:кольцо | validation:normalizer:3:useful_tokens,
GROUP_REVIEW,РГ-00359,Штуцер-тройник Ф25 №1965,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:штуцер.",family:other_products_fittings | token:штуцер | validation:normalizer:3:useful_tokens,
GROUP_REVIEW,РГ-00361,Штуцер-тройник Ф32,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:штуцер.",family:other_products_fittings | token:штуцер | validation:normalizer:3:useful_tokens,
GROUP_REVIEW,РГ-00368,Штуцер-тройник Ф10 №1064,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:штуцер.",family:other_products_fittings | token:штуцер | validation:normalizer:3:useful_tokens,
GROUP_REVIEW,РГ-00415,Кольцо резиновое д. 142х148,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо.",family:other_products_fittings | token:кольцо | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,РГ-00441,Кольца манжеты,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольца.",family:other_products_fittings | token:кольца | validation:normalizer:3:useful_tokens,
GROUP_REVIEW,ХСГ-00009,Футорка без гайки ГАЗ-ЗИЛ,ves-assortiment,other-products,0.92,weak_group_candidate,Прочие товары: универсальные метизы,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные метизы"" для быстрого подтверждения: term:гайки.",family:other_products_fasteners | token:гайки | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,ХСГ-00884,Кольцо регулировки хвостовика Хантер бол,ves-assortiment,other-products,0.91,weak_group_candidate,Прочие товары: универсальные фитинги и соединители,group_confirmation,"Предложена узкая группа ""Прочие товары: универсальные фитинги и соединители"" для быстрого подтверждения: term:кольцо.",family:other_products_fittings | token:кольцо | validation:normalizer:6:useful_tokens,
