family,status,count,shareOfNew,target,examples
other,MANUAL_REVIEW,871,0.2328,,А-00278 Собака маленькая | А-00369 Люк | А-00370 Скоба д.16 | А-00404 Собака (очень большая) | А-00526 Обезьяна на присоске
other,GROUP_REVIEW,762,0.2036,kuzov-i-optika/elementy-salona,А-00014 Консоль 2106 | А-00041 Импульс 710 октан корректор | А-00101 Полка зад. п 2104-08 | А-00102 Полка зад. п 2109 | А-00131 Стоп сигналы
other,AUTO_READY,385,0.1029,kuzov-i-optika/stekla-far-i-fonarey,А-00038 Защита задних фар 2105 (2 шт) | А-00094 Сигналы воздушные 4 рожка | А-00147 Эмблема ЛАДА 1600 | А-00160 AWM Щетка бескаркасная | А-00210 Сигналы воздушные
bolts,MANUAL_REVIEW,256,0.0684,,ЗЧМ-00588 Болт крышки в/очистителя 2141 | К-00151 Болт М 5 малый крест | К-00341 Болт салазки сиденья 2110 | КГ-00076 Болт крепления чашек ГАЗ | КР-00114 Болт опоры замка 2108
fittings,MANUAL_REVIEW,151,0.0404,,А-01725 Переходник с 220V на USB | Г-00029 Тройник КАМАЗ Евро | ЗЧМ-00062 Тройник патрубков Москвич | ЗЧМ-00109 Тройник головки Москвич | ЗЧМ-00418 Тройник вакуума 2141
fittings,GROUP_REVIEW,116,0.031,tormoznaya-sistema/prochaya-tormoznaya-sistema,КГ-00647 Быстросъем для пневм. трубок Ф6 | КГ-00714 Ключ (переходник) 17 хром | КГ-00927 Фитинг 22х12 с наружной резьбой | А-00536 ALCO Переходник с прикурив. USB | Г-00060 Труба соединительная ПАЗ-32053 с фланцами
bolts,GROUP_REVIEW,90,0.0241,podveska/prochaya-podveska,"ЗЧМ-00361 Болт балки Москвич (к-т 4 шт.) | ЗЧМ-00416 Болт развала 2141 | ИН-00740 258-943 Болт системы выпуска Nissan, Lo | К-00193 Болт развала 2108 | К-00625 Набор реактивных болтов 2101-07"
nuts,MANUAL_REVIEW,87,0.0232,,"К-00001 Гайка м 8 сапуна ВАЗ 01-07 | К-00642 Гайка М3 ""барашек"" | К-00644 Гайка М5 ""барашек"" | ЗЧМ-00076 Гайка М 8 мелкая резьба шаг 1 | ЗЧМ-00342 Гайка трамблера 2141"
washers,MANUAL_REVIEW,66,0.0176,,ИН-00349 Шайба крепежная Дэу 94525222 | К-00009 Шайба. М 8 | К-00011 Шайба. М 6 диам. поддона ВАЗ 01-08 | К-00012 Шайба М 6 д. | К-00023 Шайба М 8 д. постели ВАЗ 01-07
socket_head_fasteners,MANUAL_REVIEW,64,0.0171,,КГ-00431 DIN912 M10*11 с внутренним шестигранником | К-00758 Болт 10х30 вн. шестигранника | КГ-00422 DIN912 M10*25 с внутренним шестигранником | КГ-00423 DIN912 M10*35 с внутренним шестигранником | КГ-00424 DIN912 M10*45 с внутренним шестигранником
pneumatic_fittings,GROUP_REVIEW,58,0.0155,tormoznaya-sistema/prochaya-tormoznaya-sistema,КГ-01086 Соединитель шлангов Г-образный метал. д.1 | КГ-01176 Фурнитура наружная резьба D=6 М 20*1.5 0759 | КГ-00160 Соединитель шлангов прямой д.12 | КГ-00175 Соединитель шлангов прямой д.6 | КГ-00331 Соединитель шлангов переходной 8х10
nuts,GROUP_REVIEW,50,0.0134,dvigatel-i-transmissiya/detali-dvigatelya,"ЗЧМ-00524 Гайка шпилек гол. блока Москвич | ИН-01533 Гайка крепления колеса М14х1,5 | ЗЧМ-00041 Гайка колес Москвич 2140 | К-00015 Гайка М 8 д. приёмной трубы ВАЗ 01-08 | К-00084 Гайка втор. вала коробки ВАЗ 01-07"
rings,MANUAL_REVIEW,41,0.011,,ЗЧМ-00629 Кольцо гильз Москвич 1.7 (к-т 4 шт) | ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ОК-00284 Кольцо грязезащитное внутреннее ОКА | РГ-00207 Кольцо резиновое д. 80 | РГ-00210 Кольцо резиновое д. 125
caps_plugs,GROUP_REVIEW,40,0.0107,dvigatel-i-transmissiya/detali-dvigatelya,ЗЧМ-00601 Крышка клапанная Таврия | К-00446 Заглушка воздухозаборника 2110 | О-00698 Заглушка блок-фар Гранта 2190 | А-00473 Заглушка противотуманок ВАЗ 2110 (2 шт) | А-01256 Заглушка ремня (металл)
seat_parts,GROUP_REVIEW,40,0.0107,kuzov-i-optika/elementy-salona,А-00494 Накладка сиденья глухая 21213 Нива | А-00580 Подогрев сиденья (от прикур.) | А-00581 Подогрев сиденья (регулируемый) | А-00606 Сиденье 2105 | А-00811 Подголовники на сиденья
studs,MANUAL_REVIEW,40,0.0107,,КГ-00602 Шпилька креп. паука ЗИЛ-130 длин./коротк. | ХСГ-00417 Шпилька с гайкой ЗАЗ (за 1 шт) | ЗЧМ-00615 Шпилька М6Х55 АЗЛК 2140 | ИН-01527 MLS-199 Шпилька для грузовика | ИН-01581 MLS-236 Шпилька NISSAN OEM 43222-50J00
clamps,GROUP_REVIEW,35,0.0094,dvigatel-i-transmissiya/vyhlopnaya-sistema,"ИН-00307 107 219 685 Хомут 54,5мм | ИН-00310 107 222 685 Хомут 59, 5 мм | ЗЧМ-00376 Хомуты приемной трубы 2141 | ЗЧМ-00507 Хомут приёмной трубы (Святогор) | ИН-00306 102 754 685 Хомут 54,5 мм"
clamps,MANUAL_REVIEW,34,0.0091,,"К-00620 Хомут норма 170*190 | К-00621 Хомут норма 180*200, 190*210, 200*220, 210 | К-00187 Хомуты | К-00188 Хомуты | К-00618 Хомут норма 60*80, 70*90, 80*100"
screws,MANUAL_REVIEW,34,0.0091,,К-00052 Скоба самореза малая | К-00054 Саморезы Н-2093 | К-00078 Саморезы SK-0985 | К-00102 Саморезы SK-0986 | К-00113 Саморезы SK-5263
studs,GROUP_REVIEW,34,0.0091,dvigatel-i-transmissiya/vyhlopnaya-sistema,КГ-00598 Шпилька коллектора ЗИЛ-130 короткая | КГ-00599 Шпилька коллектора ЗИЛ-130 длин. | КГ-00601 Шпилька приемной трубы ЗИЛ-130 | ЗЧМ-00373 Шпилька коллектора Москвич 8 шаг 1.0 | ЗЧМ-00522 Шпилька блока Москвич
caps_plugs,MANUAL_REVIEW,30,0.008,,ЗЧМ-00186 Крышка поддона Москвич | К-00422 Заглушка воздуховода 2110 | К-00457 Заглушка под мовиль (пластмасса) | А-00460 Заглушка бокса 2107 нижняя | А-00689 Заглушка радиобокса 2107
heater_parts,GROUP_REVIEW,29,0.0077,dvigatel-i-transmissiya/ohlazhdenie,ДВ-00008 Корпус печки 2101-2105 | ЗЧМ-00528 Кран печки Москвич 2140 | ИН-00625 Сопротивление печки Рено (завод) | КР-00414 Печка в сборе 2110 | РГ-00321 Рем. к-т печки Газель
hoses,GROUP_REVIEW,27,0.0072,dvigatel-i-transmissiya/toplivnaya-sistema,ДВ-00433 Шланг бензин. 2110 | ИН-00098 Патрубок отопителя Рено | ИН-00100 Патрубок отопителя салона Рено | ИН-01600 Патрубок системы охлаждения СН-D057 MATIZ | КГ-00119 Разъём для шланга елка Т-образный 6мм
hoses,MANUAL_REVIEW,23,0.0061,,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | КГ-00287 Насадка на шланг подкачки | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе
rings,GROUP_REVIEW,23,0.0061,aksessuary/prochie-aksessuary,"А-01893 Кольца простав. динамиков 16 см | А-01897 Кольца для динамиков 16 обшитые | ЗЧМ-00382 Кольца SM 2141 (85,0) | ИН-01074 Кольцо приемной трубы Рено завод (16 кл) | КГ-01337 Уплотнительное кольцо топливной форсунки 7,7х13х2х2,5 мм 627.410"
washers,GROUP_REVIEW,23,0.0061,podveska/prochaya-podveska,ОК-00222 Шайба упорная передняя растяжки | ДВ-00169 Шайба регулировки клапанов 2108 (д. до 0. | ЗЧМ-00093 Шайба регулировки развала 2141 | К-00047 Шайба стопорная втор. вала коробки ВАЗ | К-00049 Шайба развала ВАЗ 08-09
fragrances,GROUP_REVIEW,19,0.0051,aksessuary/prochie-aksessuary,"А-00030 АРОМАТИЗАТОР ""Senso"" (регулируемый) | А-00032 Ароматизатор воздуха гелевый | А-00158 Ароматизатор ""Ёлочка"" | А-00254 Дезодорант-корона | А-00266 Дезодорант ""Кубики"""
steering_wheels,GROUP_REVIEW,19,0.0051,kuzov-i-optika/kuzovnye-detali,"А-00228 Руль Самара | А-00390 Руль кожа-дерево | А-00559 Замок на руль | А-00948 Руль 2110 н/обр. | А-01061 Замок на руль ""Райтон"""
adhesive_tapes,GROUP_REVIEW,16,0.0043,aksessuary/prochie-aksessuary,"А-00250 Скотч армированный | А-00461 Скотч 50 мм | А-00973 Скотч ""3М"" (9 мм, 33 м) | А-02245 Скотч 150 мм | А-00162 TOR CAR Скотч 25мм/40м"
driver_electronics,GROUP_REVIEW,15,0.004,aksessuary/prochie-aksessuary,"А-00835 Антирадар ""SHO-ME"" | А-01009 Антирадар ""САВЕР 255"" | А-01028 Алкотестер | А-01032 Алкотестер 3000 | А-01196 Антирадар ""SHO-ME"" 530"
personal_accessories,MANUAL_REVIEW,15,0.004,,"А-00246 Смайлики силикон, 4 шт | А-00502 Брелок | А-00511 Перчатки | А-01036 Брелок | А-01280 Перчатки зимние п/шерсть черные с ПВХ"
body_decor,GROUP_REVIEW,13,0.0035,kuzov-i-optika/obves-i-dekor,А-00419 Реснички боковых стекол 2106 | А-01172 Сетка пластиковая | А-01269 Сетка алюминиевая SUPER 40Х100 см | А-01387 Универсальный расширитель арок | А-01440 Расширитель арок 50 мм
bushings,MANUAL_REVIEW,13,0.0035,,ОК-00109 Втулка скобы | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00040 Втулка грибка трамблера
other,BLOCKED_CONFLICT,13,0.0035,kuzov-i-optika/kuzovnye-detali,А-01211 Накладка на воздухозаборник 2110 (краш.) | ДВ-00106 Клапан рециркуляции Нива в сборе | ДВ-00186 Диффузор салона 2105 | ДВ-00503 Клапан обратки 2105 | А-00352 Привод центрального замка
ventilation,MANUAL_REVIEW,13,0.0035,,"А-00004 Вентилятор ALCO | А-00979 Вентилятор ""Valgo"" | ОК-00319 Кожух электровентилятора ОКА | А-00372 Вентилятор | А-00554 Вентилятор бол. 12В/24В"
tow_hardware,GROUP_REVIEW,12,0.0032,aksessuary/bezopasnost,ИН-00363 крюк буксировочный 1440036880 | А-02273 Крюк буксировочный универс. | КГ-00806 Палец М22х107 буксирной проушины 5410-280 | КГ-01323 Скоба такелажная М 10 | КГ-01324 Скоба такелажная М 12
body_clips,MANUAL_REVIEW,11,0.0029,,"К-00611 Набор пистонов ВАЗ-Калина 1118 | К-00189 Пистоны | К-00222 Пистоны | К-00355 Пистоны потолка 2110 | К-00610 Набор пистонов ВАЗ-2113, 2114, 2115"
steering_wheel_covers,GROUP_REVIEW,11,0.0029,aksessuary/prochie-aksessuary,"А-01612 Оплетка (натуральный мех) | А-01823 Оплётка 48 см | А-02099 Оплётка Гранта | А-02100 Оплётка Солярис, Рио | А-01481 Оплётка ""HR"" Израиль"
caps_plugs,AUTO_READY,10,0.0027,kuzov-i-optika/elementy-salona,А-01610 Крышка бардачка Калина | К-00458 Заглушка под мовиль (резина) | Р-00069 Крышка трамблера Зил-130 | А-00475 Крышка бардачка 2105 | А-00476 Крышка бардачка 2108 в/п
washing_sponges,GROUP_REVIEW,10,0.0027,aksessuary/prochie-aksessuary,А-02411 Губка поролоновая крупнопористая AVS SP-11 кирпич 180х100х50мм | А-00178 Губка для мытья машины | А-00179 Губка для пластика | А-01026 Швабра для мытья (большая) 646 | А-01860 РМ0972 Губка поролоновая крупнопористая 235х115х85мм
brake_tubes,GROUP_REVIEW,9,0.0024,tormoznaya-sistema/tormoznye-trubki,ИН-00517 Трубки медные д.5 для иномарок 50 см | ИН-00518 Трубки медные д.5 для иномарок 75 см | ИН-00519 Трубки медные д.5 для иномарок 100 см | ИН-00520 Трубки медные д.5 для иномарок 125 см | ИН-00521 Трубки медные д.5 для иномарок 150 см
conditioner_parts,MANUAL_REVIEW,9,0.0024,,ДВ-00637 Трубки кондиционера до 2015 г. (к-т) 2190 | ДВ-00638 Трубки кондиционера Приора 2170 (к-т) | ДВ-00639 Трубки кондиционера Калина ст. обр. (к-т) | ДВ-00640 Трубки кондиционера Нива Урбан (к-т) | ДВ-00641 Трубки кондиционера Нива 2123 ст. обр. (к
fittings,AUTO_READY,9,0.0024,tormoznaya-sistema/tormoznye-shtucery,"ЗЧМ-00644 Штуцер прокачки тормозов Москвич 412 | ИН-00171 Штуцер прокачки М6*1*29 (AUDI,BMW,SAABVW) | ИН-00172 Штуцер прокачки М6*1*38 (AUDI,SUBARU,VW) | ИН-00173 Штуцер прокачки М8*1*32 (FORD,MAZDA) | ИН-00174 Штуцер прокачки М8*1*33 (MAZDA,OPEL)"
hoses,AUTO_READY,9,0.0024,dvigatel-i-transmissiya/vyhlopnaya-sistema,Г-00516 Патрубок выпускной КАМАЗ-ЕВРО №54115 | ДВ-00078 Трубка топливная ВАЗ дв. 1.6 за 1 шт | ДВ-00113 Трубка топливная 2101-09 Нива | ДВ-00288 Шланг топливный короткий 2108 | ДВ-00326 Шланг топливный длинный 2110
seat_parts,MANUAL_REVIEW,8,0.0021,,"А-02175 Накладки сидений PSV KROCUS (все сидения) | А-01025 ""HR"" К-т накидок на все сиденья ""ROMB PLUS"" | А-02393 Защита спинки сиденья Автобра 5109 | КР-00266 Ремкомплект гребенок сиденья 2101-07 (1 ш | КР-00314 Защелка заднего сиденья 2108"
driver_electronics,MANUAL_REVIEW,7,0.0019,,"А-01058 Рация ""АЛАН-100"" | А-01099 Рация ""Мега-Джет"" 300,100 | А-01159 Рация ""Алан-48 плюс"" | А-01437 Рация OPTIM 270 | А-01142 Рация MEGA SET 300"
electrical_consumer,MANUAL_REVIEW,7,0.0019,,"А-00176 Адаптер ""Samsung"" USB (оригинал) | А-01332 ""Банка"" радио+флешка (воспроизв.) | А-01460 Тепловентилятор автомобильный AVS Comfort ТЕ-310 12В (2 реж.) 150W | А-01522 KOTO EFB-211 Тепловентилятор | А-01650 Флешка 8 Гб"
ignition_distributor,MANUAL_REVIEW,7,0.0019,,ЗЧМ-00072 Уголёк трамблера Москвич | ЗЧМ-00465 Манжет трамблера Москвич (1 шт) | ИН-00222 Трамблер Дэу-Нексиа | ИН-00971 Трамблёр Дэу Матиз | К-00055 Скоба трамблера ВАЗ 01-07
bushings,GROUP_REVIEW,6,0.0016,dvigatel-i-transmissiya/kpp,ЗЧМ-00084 Втулка удлинителя коробки Москвич 2 шт | ЗЧМ-00467 Втулка подголовника 2141 | ЗЧМ-00497 Втулка траверса коробки Москвич 2140 | КГ-00105 Втулка оси педали газа ГАЗ | КГ-00248 Втулка крепления потолка ГАЗ (резина)
document_accessories,GROUP_REVIEW,6,0.0016,aksessuary/organayzery,"А-00519 Футляр для очков | А-00909 Автодокументы, паспорт, кошелек (кожа) | А-00415 Автодокументы | А-00563 Автодокументы | А-01044 Автодокументы с паспортом"
body_clips,GROUP_REVIEW,5,0.0013,dvigatel-i-transmissiya/toplivnaya-sistema,ЗЧМ-00026 Пистон троса газа 2141 | ИН-00693 Пистон крепления эмблемы Рено № 924 | К-00115 Пистон газовых тяг ВАЗ | К-00755 Пистон обшивки Ларгус | КГ-00132 Пистоны ветровой обшивки Газель
child_seats,GROUP_REVIEW,5,0.0013,aksessuary/bezopasnost,"А-00921 Детское кресло 15-36 кг | А-01412 Кресло детское с поддержкой го№515 9-36 кг | А-00944 Детское автокресло (люлька) | А-01186 Детское автомобильное кресло ""SIGER"" | А-01192 Автокресло детское 0-13 кг"
interior_sunvisors,GROUP_REVIEW,5,0.0013,kuzov-i-optika/elementy-salona,"А-00814 Сопло обдува салона 2110 (центр.) | А-00343 Козырьки солнцезащитные Приора, 2 шт | А-00507 Козырьки солнцезащитные 2105 | А-00508 Козырьки солнцезащитные 2106 (2 шт) | А-00619 Козырьки солнцезащитные 21213 (2 шт)"
safety_belts,GROUP_REVIEW,5,0.0013,aksessuary/bezopasnost,"А-00817 Ремни безопасности 2101-07 (2 шт) | А-01627 Ремни безопасности перед. 1118 | А-00035 Ремни безопасности (неинерционные) | А-00963 Ремни безопасности пер. 2108-014, 2110 | КР-00413 Ремни безопасности 2110"
ventilation,GROUP_REVIEW,5,0.0013,dvigatel-i-transmissiya/ohlazhdenie,"ДВ-00104 Диффузор вентилятора Нива | ДВ-00296 Электровентилятор ВАЗ 2170 ""Panasonic"" | ДВ-00341 Электровентилятор Нива 21214 | ДВ-00728 Крыльчатка вентилятора Нива 6 лопостей | КР-00619 Диффузор под электровентилятор ВАЗ 2107 инжектор"
pins,MANUAL_REVIEW,4,0.0011,,К-00155 Шплинты малые | КГ-00002 Шплинты ГАЗ | КГ-00049 Шплинты большие ГАЗ | КГ-00755 Шплинты (за 1 шт)
roof_rails,GROUP_REVIEW,4,0.0011,aksessuary/prochie-aksessuary,"А-01187 Рейлинги на а/м ""Калина-универсал"" | А-01407 Рейлинги Рено-Логан | А-01408 Рейлинги Рено-Сандеро | А-01436 Рейлинги Лада-Ларгус оригинал"
washing_sponges,MANUAL_REVIEW,4,0.0011,,"А-00194 Швабра № 613 (с резинкой) | А-00617 Губка ""Доктор ВАКС"" DW8611, 8612R | А-01461 Швабра большая (Польша) | А-01566 Швабра большая № 636"
heater_parts,AUTO_READY,3,0.0008,elektrika/prochaya-elektrika,ЗЧМ-00173 Мотор печки 2141 | ДВ-00102 Заслонка печки 2110 | ДВ-00112 Отвод печки 2108
pins,GROUP_REVIEW,3,0.0008,podveska/pruzhiny,КГ-00851 Шплинт 8х80 | КГ-00852 Шплинт 8х50 | КГ-01288 Шплинт 6.3*90
