shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,explanation,correct,correctCategory,reviewerComment
А-00618,Привод центрального замка (5 выводов),elektrika,prochaya-elektrika,0.84,BLOCKED_CONFLICT,central_locking|other|привод-центрального-замка|elektrika|prochaya-elektrika,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-00352,Привод центрального замка,elektrika,prochaya-elektrika,0.84,BLOCKED_CONFLICT,central_locking|other|привод-центрального-замка|elektrika|prochaya-elektrika,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ДВ-00475,Клапан адсорбера Калина,dvigatel-i-transmissiya,toplivnaya-sistema,0.84,BLOCKED_CONFLICT,fuel_management|other|клапан-адсорбера|dvigatel-i-transmissiya|toplivnaya-sistema,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ЗЧМ-00505,Ремкомплект регулятора тормозов 2141,tormoznaya-sistema,ruchnoy-tormoz,0.84,BLOCKED_CONFLICT,parking_brake_cables|other|тормоз|tormoznaya-sistema|ruchnoy-tormoz,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-01211,Накладка на воздухозаборник 2110 (краш.),kuzov-i-optika,kuzovnye-detali,0.84,BLOCKED_CONFLICT,body_air_intakes|other|воздухозаборник|kuzov-i-optika|kuzovnye-detali,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-02154,"Накидка на сиденье с функцией подогрева AVS HC-175,180",aksessuary,chehly,0.84,BLOCKED_CONFLICT,seat_covers|seat_parts|накидка|aksessuary|chehly,seat_parts,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-00843,"Переноска 12V, 24V, 220V (дневной свет)",elektrika,osveshchenie,0.796,BLOCKED_CONFLICT,portable_work_lights|other|переноска-12v|elektrika|osveshchenie,other,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00045,Пробка коробки ВАЗ и пробка поддона ВАЗ,dvigatel-i-transmissiya,detali-dvigatelya,0.792,BLOCKED_CONFLICT,oil_pan_plugs|caps_plugs|пробка-поддона|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
ДВ-00505,Клапан бачка сепаратора,dvigatel-i-transmissiya,detali-dvigatelya,0.759,BLOCKED_CONFLICT,engine_valves|other|клапан|dvigatel-i-transmissiya|detali-dvigatelya,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ДВ-00106,Клапан рециркуляции Нива в сборе,dvigatel-i-transmissiya,detali-dvigatelya,0.759,BLOCKED_CONFLICT,engine_valves|other|клапан|dvigatel-i-transmissiya|detali-dvigatelya,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ДВ-00503,Клапан обратки 2105,dvigatel-i-transmissiya,detali-dvigatelya,0.759,BLOCKED_CONFLICT,engine_valves|other|клапан|dvigatel-i-transmissiya|detali-dvigatelya,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ДВ-00502,Клапан обратки 21214,dvigatel-i-transmissiya,detali-dvigatelya,0.759,BLOCKED_CONFLICT,engine_valves|other|клапан|dvigatel-i-transmissiya|detali-dvigatelya,other,Найдены отрицательные признаки для лучшего кандидата.,,,
КГ-00531,Кронштейн колпаков Газель (Каминс),aksessuary,shiny-i-diski,0.742,BLOCKED_CONFLICT,wheel_caps|other|колпак|aksessuary|shiny-i-diski,other,Найдены отрицательные признаки для лучшего кандидата.,,,
А-01445,"""Такси"" диодн. (на стекло)",elektrika,osveshchenie,0.742,BLOCKED_CONFLICT,auxiliary_lighting|other|такси|elektrika|osveshchenie,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ДВ-00186,Диффузор салона 2105,dvigatel-i-transmissiya,ohlazhdenie,0.74,BLOCKED_CONFLICT,cooling|other|диффузор|dvigatel-i-transmissiya|ohlazhdenie,other,Найдены отрицательные признаки для лучшего кандидата.,,,
КР-00223,Подкладки под крючок 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Р-00044,Шланг воздушный прицепа в сборе,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
К-00679,Рем. набор крепления воздушного фланца (с,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00800,Палец М10-35 педали тормоза 3502.260088,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00077,Стопор замка 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00583,Фланец трубы приёмной КАМАЗ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-01449,AMD.SEN25 Регулятор холостого хода MATIZ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
О-00696,ВАЗ 2111 стекло з.д.о прав.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Р-00023,Пыльник торсиона ЗАЗ (за 1 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00246,Вал промежуточный ВАЗ 21213 в сб. (GL.CE.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01048,Втулка передней подвески МАЗ-6430 н. обр,,,0,MANUAL_REVIEW,no_match|bushings|bushings,bushings,Категория и подкатегория не определены правилами.,,,
А-01132,Переходник USB (AVS ST-04),,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
