family,residualCount,share,reason,usefulContext,noUsefulContext,topTokens,activeAnalogs,topActiveTargets,groupPossible,autoReadyPossible,irreducible,examples
Generic fasteners without destination,428,0.2361,name_lacks_destination_context,5,423,кг-:199 | болт:175 | гайка:66 | шайба:59 | хомут:30 | шпилька:28 | винт:19 | норма:16 | саморезы:16 | саморез:14,806,aksessuary/shiny-i-diski:105 | dvigatel-i-transmissiya/detali-dvigatelya:103 | dvigatel-i-transmissiya/detali-transmissii:65 | podveska/stupicy:49 | dvigatel-i-transmissiya/kpp:43 | dvigatel-i-transmissiya/vyhlopnaya-sistema:38 | podveska/ressory:34 | podveska/rulevye-nakonechniki:34,0,0,428,"ЗЧМ-00588 Болт крышки в/очистителя 2141 | К-00001 Гайка м 8 сапуна ВАЗ 01-07 | К-00151 Болт М 5 малый крест | К-00620 Хомут норма 170*190 | К-00621 Хомут норма 180*200, 190*210, 200*220, 210 | К-00642 Гайка М3 ""барашек"" | К-00644 Гайка М5 ""барашек"" | КГ-00602 Шпилька креп. паука ЗИЛ-130 длин./коротк."
Unique low-frequency items,187,0.1031,unique_singleton_or_no_active_analogs,19,168,дв-:28 | ин-:14 | ваз:8 | нива:7 | к-т:6 | веста:5 | дв.:5 | зчм-:5 | привод:5 | реверс:5,0,,0,0,187,"А-01896 Проставки 6х9 с накладкой | А-02230 Груша для откачки воздуха | А-02368 Накидки Фронт ""ICEBERG FRONT""черный/черный/красный 26190 | Б-00004 Буфер перед. н/о 3 2803010-53205 | Г-00109 Коллектор 511-1008015-10 | Г-00366 Заменитель прием. тр. Лада Веста ""ПАУК"" 16-кл 1.8 | Г-00409 Щиток наливной трубы 2108 | ДВ-00186 Диффузор салона 2105"
Short/code-only names,175,0.0965,technical_insufficient_data,0,175,зчм-:37 | ок-:29 | ин-:6 | кг-:6 | ркп-:6 | дв-:5 | ак-:4 | пс-:4 | хс-:4 | барашек:2,0,,0,0,175,"А-00703 Такси | А-00775 А-00775 | А-01370 А-01370 | А-01393 А-01393 | А-01399 А-01399 | А-01429 А-01429 | А-01556 А-01556 | А-01665 Трос 42 т, 5 м"
Ambiguous fittings and connectors,155,0.0855,active_analogs_conflict_or_no_destination,18,137,кг-:132 | штуцер:67 | фитинг:33 | тройник:27 | переходник:22 | внутр.:12 | резьба:12 | резьбой:12 | соединитель:11 | латунный:10,322,tormoznaya-sistema/prochaya-tormoznaya-sistema:110 | aksessuary/instrumenty:58 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:20 | filtry-i-masla/maslyanye-filtry:19 | aksessuary/prochie-aksessuary:13 | dvigatel-i-transmissiya/ohlazhdenie:12 | dvigatel-i-transmissiya/detali-dvigatelya:10,0,0,155,А-01725 Переходник с 220V на USB | Г-00029 Тройник КАМАЗ Евро | ЗЧМ-00062 Тройник патрубков Москвич | ЗЧМ-00109 Тройник головки Москвич | ЗЧМ-00418 Тройник вакуума 2141 | КГ-00225 Штуцер Зил-Бычок № 300503 | КГ-00519 Штуцер с резьбой д.10 длинный | КГ-00867 Штуцер под шланги 22х12
Engine/transmission parts with partial context,109,0.0601,potentially_automatable_future_context_rules,34,75,кг-:28 | зчм-:26 | дв-:23 | вала:22 | коробки:18 | ваз:13 | гайка:13 | москвич:12 | болт:9 | кольцо:8,1607,dvigatel-i-transmissiya/kpp:527 | dvigatel-i-transmissiya/detali-dvigatelya:386 | dvigatel-i-transmissiya/detali-transmissii:123 | podveska/podshipniki:88 | dvigatel-i-transmissiya/prokladki:56 | dvigatel-i-transmissiya/sceplenie:52 | podveska/rulevye-nakonechniki:33 | kuzov-i-optika/kuzovnye-detali:24,0,0,109,ЗЧМ-00186 Крышка поддона Москвич | ЗЧМ-00212 Поддон картера 2140 | ЗЧМ-00263 Набор иголок коробки Москвич | ЗЧМ-00276 Синхронизатор в сборе 2141 | ЗЧМ-00455 Тяги коробки Москвич (2 шт) | ЗЧМ-00457 Набор стопоров коробки 2141 | ЗЧМ-00607 Синхронизатор 2141 (1Х2/3Х4) | ЗЧМ-00612 Синхронизатор в сборе 2141 5-ой передачи
DIN/socket-head fasteners without public target,86,0.0474,no_allowed_target_current_taxonomy,0,86,кг-:71 | шестигранником:62 | внутренним:40 | din:39 | винт:23 | внутр.:22 | м16*:12 | m12*:12 | гровер:11 | м20*:11,39,aksessuary/instrumenty:34 | dvigatel-i-transmissiya/toplivnaya-sistema:2 | dvigatel-i-transmissiya/detali-dvigatelya:1 | dvigatel-i-transmissiya/kpp:1 | elektrika/datchiki:1,0,0,86,К-00284 Гровер М-8 | КГ-00431 DIN912 M10*11 с внутренним шестигранником | К-00004 Гайка. М 6 самоконтрящая ВАЗ | К-00005 Гайка. М 8 самоконтрящая ВАЗ | К-00019 Гайка М 10 д. шаг 1.25 самоконтр. | К-00020 Гайка М 12 д. шаг 1.25 самоконтр. | К-00229 Гроверные шайбы на 12 | К-00230 Гроверные шайбы на 14
Body/interior fragments without stable target,64,0.0353,active_analogs_conflict_or_no_destination,12,52,кр-:18 | сиденья:10 | бардачка:7 | бокс:7 | ваз:5 | педали:5 | тоннель:5 | болт:4 | вещевого:4 | заглушка:4,326,kuzov-i-optika/kuzovnye-detali:106 | elektrika/prochaya-elektrika:40 | dvigatel-i-transmissiya/toplivnaya-sistema:28 | dvigatel-i-transmissiya/sceplenie:18 | aksessuary/prochie-aksessuary:17 | aksessuary/instrumenty:12 | filtry-i-masla/masla:12 | podveska/pruzhiny:11,0,0,64,"А-00369 Люк | А-00726 Бокс 2101-07 Люкс | А-00896 Опора полки 2108 (2 шт) | А-01211 Накладка на воздухозаборник 2110 (краш.) | А-01490 Подогрев-сидушка ""HR"" | А-01746 Тоннель 2110 | А-02175 Накладки сидений PSV KROCUS (все сидения) | ДВ-00380 Торпеда 2105"
Mounting/installation kits without destination target,45,0.0248,name_lacks_destination_context,4,41,кг-:27 | крепления:18 | болт:15 | крепл.:10 | газ:5 | газ-:4 | к-т:4 | шплинты:4 | бычок:3 | главной:3,347,dvigatel-i-transmissiya/detali-dvigatelya:36 | kuzov-i-optika/kuzovnye-detali:35 | tormoznaya-sistema/supporty:20 | dvigatel-i-transmissiya/vyhlopnaya-sistema:19 | aksessuary/instrumenty:18 | podveska/pruzhiny:18 | dvigatel-i-transmissiya/detali-transmissii:17 | dvigatel-i-transmissiya/kpp:14,0,0,45,А-02289 Стяжка 8 мм х 60 см (2 шт) AVS TL-05 | К-00664 Набор крепл. продольн. верх. штанги стаб.- | К-00665 Набор крепл. продол. ниж. штанги стаб.-ра | КГ-00076 Болт крепления чашек ГАЗ | А-01829 Секретки для номеров | А-02290 Стяжка 8 мм х 80 см (2 шт) AVS TL-03 | К-00155 Шплинты малые | К-00171 Маслёнка малая
Small body/interior parts with weak context,36,0.0199,active_analogs_conflict_or_no_destination,1,35,кр-:11 | скоба:11 | кронштейн:10 | пистоны:6 | ваз:4 | пистонов:4 | потолка:4 | троса:4 | кг-:3 | нива:3,761,kuzov-i-optika/kuzovnye-detali:177 | dvigatel-i-transmissiya/detali-dvigatelya:59 | kuzov-i-optika/bampery:51 | elektrika/generatory:44 | podveska/ressory:31 | aksessuary/instrumenty:28 | dvigatel-i-transmissiya/sceplenie:28 | podveska/prochaya-podveska:25,0,0,36,"А-00370 Скоба д.16 | А-01774 Скоба троса 12 мм | А-01775 Скоба троса 15 мм | ИН-00448 Фиксатор | К-00065 Скоба личинок 01-07 | К-00375 Скоба троса воздушной заслонки | К-00611 Набор пистонов ВАЗ-Калина 1118 | КР-00418 Кронштейн Калина-2110 дв.1,6"
Body locks/handles/glass mechanisms with partial context,34,0.0188,active_analogs_conflict_or_no_destination,8,26,кр-:12 | ручки:8 | болт:5 | стекло:5 | зчм-:4 | б/бака:3 | ваз:3 | замок:3 | кг-:3 | лючок:3,1073,kuzov-i-optika/kuzovnye-detali:203 | elektrika/prochaya-elektrika:188 | kuzov-i-optika/zamki-i-ruchki:162 | kuzov-i-optika/stekla:74 | aksessuary/prochie-aksessuary:61 | aksessuary/instrumenty:54 | kuzov-i-optika/fary:34 | dvigatel-i-transmissiya/kpp:33,0,0,34,"А-02202 Ручки 2106 перед. н/о, 2 шт | ИН-00421 Стекло | О-00696 ВАЗ 2111 стекло з.д.о прав. | РДГ-00065 Тройник ручки УАЗ | РДГ-00112 Запорный механизм ГАЗ-3302 бесшум.,1 шт. | А-00422 Ручки 2110 (Дмитровград) 4 шт | А-00656 Ручки 2109 хром. (набор) | А-01041 Ручки 2105, 07 (тюнинг)"
Hoses and tubes without system,31,0.0171,name_lacks_destination_context,31,0,дв-:15 | трубка:10 | трубки:9 | к-т:6 | кондиционера:6 | патрубок:6 | завод:3 | инжектор:3 | нива:3 | обр.:3,1247,dvigatel-i-transmissiya/detali-dvigatelya:420 | dvigatel-i-transmissiya/ohlazhdenie:249 | tormoznaya-sistema/prochaya-tormoznaya-sistema:202 | aksessuary/instrumenty:115 | kuzov-i-optika/kuzovnye-detali:63 | dvigatel-i-transmissiya/sceplenie:40 | podveska/ressory:37 | dvigatel-i-transmissiya/nasosy:30,0,0,31,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | ЗЧМ-00235 Трубки магистр. 2141 | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе | Р-00075 Шланги воздушные | А-00339 Шланг-груша силиконовый | Г-00347 Патрубок (инжектор крив.) 5320 КАМАЗ
Rings and seals without destination,29,0.016,active_analogs_conflict_or_no_destination,0,29,кольцо:24 | кг-:9 | ин-:5 | кольца:5 | рг-:5 | стопорное:5 | зчм-:4 | москвич:4 | уплотнительное:4 | резиновое:3,508,dvigatel-i-transmissiya/detali-dvigatelya:296 | podveska/stupicy:49 | dvigatel-i-transmissiya/kpp:45 | dvigatel-i-transmissiya/detali-transmissii:29 | dvigatel-i-transmissiya/nasosy:14 | podveska/podshipniki:9 | aksessuary/avtohimiya:8 | tormoznaya-sistema/cilindry:7,0,0,29,ЗЧМ-00629 Кольцо гильз Москвич 1.7 (к-т 4 шт) | ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ОК-00284 Кольцо грязезащитное внутреннее ОКА | РГ-00207 Кольцо резиновое д. 80 | РГ-00210 Кольцо резиновое д. 125 | РГ-00241 Кольцо д. 83 | РГ-00415 Кольцо резиновое д. 142х148 | РГ-00441 Кольца манжеты
Suspension/steering parts with partial context,28,0.0154,potentially_automatable_future_context_rules,1,27,отбойник:7 | зчм-:5 | кр-:5 | маятника:5 | тяга:5 | болт:4 | москвич:4 | руля:4 | рул.:3 | хсг-:3,998,podveska/rulevye-nakonechniki:426 | podveska/stoyki:150 | podveska/prochaya-podveska:138 | dvigatel-i-transmissiya/detali-transmissii:61 | kuzov-i-optika/kuzovnye-detali:50 | aksessuary/instrumenty:32 | dvigatel-i-transmissiya/detali-dvigatelya:22 | podveska/podshipniki:14,0,0,28,"А-01206 Отбойник УАЗ-Патриот СА-пласт. | ЗЧМ-00151 Маятник Москвич 2140 | ИН-00812 Отбойник NSHBB10RR | КР-00140 Кронштейн руля ВАЗ | ХСГ-00564 Гидроусилитель руля УАЗ-469 в сборе | ХСГ-00908 Тяга реактивная ЗИЛ-131 | ХСГ-01169 Отбойник УАЗ-3160, Хантер, Патриот | А-00971 Отбойник пер.панели Газель н/о"
