family,status,count,shareOfNew,target,examples
other,MANUAL_REVIEW,1460,0.3131,,"А-00176 Адаптер ""Samsung"" USB (оригинал) | А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00369 Люк | А-00370 Скоба д.16"
other,GROUP_REVIEW,863,0.1851,kuzov-i-optika/elementy-salona,А-00014 Консоль 2106 | А-00041 Импульс 710 октан корректор | А-00101 Полка зад. п 2104-08 | А-00102 Полка зад. п 2109 | А-00131 Стоп сигналы
other,AUTO_READY,468,0.1004,kuzov-i-optika/stekla-far-i-fonarey,А-00038 Защита задних фар 2105 (2 шт) | А-00094 Сигналы воздушные 4 рожка | А-00147 Эмблема ЛАДА 1600 | А-00160 AWM Щетка бескаркасная | А-00210 Сигналы воздушные
fittings,MANUAL_REVIEW,331,0.071,,А-01725 Переходник с 220V на USB | Г-00029 Тройник КАМАЗ Евро | ЗЧМ-00062 Тройник патрубков Москвич | ЗЧМ-00109 Тройник головки Москвич | ЗЧМ-00418 Тройник вакуума 2141
bolts,MANUAL_REVIEW,311,0.0667,,ЗЧМ-00361 Болт балки Москвич (к-т 4 шт.) | ЗЧМ-00416 Болт развала 2141 | ЗЧМ-00588 Болт крышки в/очистителя 2141 | К-00151 Болт М 5 малый крест | К-00193 Болт развала 2108
rings,MANUAL_REVIEW,99,0.0212,,ЗЧМ-00629 Кольцо гильз Москвич 1.7 (к-т 4 шт) | ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ОК-00284 Кольцо грязезащитное внутреннее ОКА | РГ-00207 Кольцо резиновое д. 80 | РГ-00210 Кольцо резиновое д. 125
nuts,MANUAL_REVIEW,91,0.0195,,"К-00001 Гайка м 8 сапуна ВАЗ 01-07 | К-00642 Гайка М3 ""барашек"" | К-00644 Гайка М5 ""барашек"" | ЗЧМ-00076 Гайка М 8 мелкая резьба шаг 1 | ЗЧМ-00342 Гайка трамблера 2141"
washers,MANUAL_REVIEW,81,0.0174,,ОК-00222 Шайба упорная передняя растяжки | ЗЧМ-00093 Шайба регулировки развала 2141 | ИН-00349 Шайба крепежная Дэу 94525222 | К-00009 Шайба. М 8 | К-00011 Шайба. М 6 диам. поддона ВАЗ 01-08
fittings,GROUP_REVIEW,75,0.0161,tormoznaya-sistema/prochaya-tormoznaya-sistema,КГ-00647 Быстросъем для пневм. трубок Ф6 | КГ-00714 Ключ (переходник) 17 хром | КГ-00927 Фитинг 22х12 с наружной резьбой | А-00536 ALCO Переходник с прикурив. USB | Г-00060 Труба соединительная ПАЗ-32053 с фланцами
hoses,GROUP_REVIEW,75,0.0161,dvigatel-i-transmissiya/patrubki-i-shlangi-ohlazhdeniya,ИН-00098 Патрубок отопителя Рено | ИН-00100 Патрубок отопителя салона Рено | ИН-01600 Патрубок системы охлаждения СН-D057 MATIZ | КГ-00119 Разъём для шланга елка Т-образный 6мм | ХСГ-00481 Шланг ГУР УАЗ
