family,residualCount,activeAnalogCount,topActiveTargets,residualExamples
other,1097,0,,"А-00176 Адаптер ""Samsung"" USB (оригинал) | А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00369 Люк | А-00370 Скоба д.16 | А-00404 Собака (очень большая) | А-00419 Реснички боковых стекол 2106 | А-00502 Брелок"
bolts,312,407,aksessuary/shiny-i-diski:71 | dvigatel-i-transmissiya/detali-dvigatelya:68 | dvigatel-i-transmissiya/detali-transmissii:30 | podveska/ressory:21 | kuzov-i-optika/kuzovnye-detali:15 | dvigatel-i-transmissiya/kpp:14 | elektrika/generatory:13 | tormoznaya-sistema/prochaya-tormoznaya-sistema:12,ЗЧМ-00361 Болт балки Москвич (к-т 4 шт.) | ЗЧМ-00416 Болт развала 2141 | ЗЧМ-00588 Болт крышки в/очистителя 2141 | К-00151 Болт М 5 малый крест | К-00193 Болт развала 2108 | К-00341 Болт салазки сиденья 2110 | К-00625 Набор реактивных болтов 2101-07 | КГ-00076 Болт крепления чашек ГАЗ
fittings,237,272,tormoznaya-sistema/prochaya-tormoznaya-sistema:107 | aksessuary/instrumenty:32 | dvigatel-i-transmissiya/kpp:21 | filtry-i-masla/maslyanye-filtry:19 | kuzov-i-optika/kuzovnye-detali:16 | dvigatel-i-transmissiya/ohlazhdenie:12 | aksessuary/prochie-aksessuary:10 | dvigatel-i-transmissiya/detali-dvigatelya:9,А-01725 Переходник с 220V на USB | Г-00029 Тройник КАМАЗ Евро | ЗЧМ-00062 Тройник патрубков Москвич | ЗЧМ-00109 Тройник головки Москвич | ЗЧМ-00418 Тройник вакуума 2141 | КГ-00225 Штуцер Зил-Бычок № 300503 | КГ-00519 Штуцер с резьбой д.10 длинный | КГ-00867 Штуцер под шланги 22х12
nuts,89,111,aksessuary/shiny-i-diski:20 | podveska/stupicy:20 | podveska/rulevye-nakonechniki:19 | dvigatel-i-transmissiya/detali-transmissii:10 | podveska/ressory:7 | dvigatel-i-transmissiya/sceplenie:4 | podveska/podshipniki:4 | dvigatel-i-transmissiya/detali-dvigatelya:3,"К-00001 Гайка м 8 сапуна ВАЗ 01-07 | К-00642 Гайка М3 ""барашек"" | К-00644 Гайка М5 ""барашек"" | ЗЧМ-00076 Гайка М 8 мелкая резьба шаг 1 | ЗЧМ-00342 Гайка трамблера 2141 | ИН-01053 104 456 785 Гайка VAG М16х1 | К-00004 Гайка. М 6 самоконтрящая ВАЗ | К-00005 Гайка. М 8 самоконтрящая ВАЗ"
washers,76,110,podveska/stupicy:18 | dvigatel-i-transmissiya/detali-dvigatelya:16 | dvigatel-i-transmissiya/kpp:15 | filtry-i-masla/masla:9 | podveska/prochaya-podveska:8 | podveska/rychagi:6 | dvigatel-i-transmissiya/detali-transmissii:5 | podveska/ressory:5,ОК-00222 Шайба упорная передняя растяжки | ЗЧМ-00093 Шайба регулировки развала 2141 | ИН-00349 Шайба крепежная Дэу 94525222 | К-00009 Шайба. М 8 | К-00011 Шайба. М 6 диам. поддона ВАЗ 01-08 | К-00012 Шайба М 6 д. | К-00023 Шайба М 8 д. постели ВАЗ 01-07 | К-00025 Шайба М 10 д.
rings,49,229,dvigatel-i-transmissiya/detali-dvigatelya:100 | dvigatel-i-transmissiya/detali-transmissii:29 | dvigatel-i-transmissiya/kpp:21 | podveska/stupicy:13 | dvigatel-i-transmissiya/nasosy:7 | podveska/podshipniki:6 | tormoznaya-sistema/cilindry:6 | dvigatel-i-transmissiya/ohlazhdenie:5,ЗЧМ-00629 Кольцо гильз Москвич 1.7 (к-т 4 шт) | ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ОК-00284 Кольцо грязезащитное внутреннее ОКА | РГ-00207 Кольцо резиновое д. 80 | РГ-00210 Кольцо резиновое д. 125 | РГ-00241 Кольцо д. 83 | РГ-00415 Кольцо резиновое д. 142х148 | РГ-00441 Кольца манжеты
caps_plugs,42,403,dvigatel-i-transmissiya/detali-dvigatelya:88 | dvigatel-i-transmissiya/ohlazhdenie:37 | kuzov-i-optika/zamki-i-ruchki:33 | aksessuary/instrumenty:23 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:22 | filtry-i-masla/masla:19 | aksessuary/prochie-aksessuary:14,ЗЧМ-00186 Крышка поддона Москвич | К-00422 Заглушка воздуховода 2110 | К-00457 Заглушка под мовиль (пластмасса) | О-00698 Заглушка блок-фар Гранта 2190 | А-00460 Заглушка бокса 2107 нижняя | А-00473 Заглушка противотуманок ВАЗ 2110 (2 шт) | А-00689 Заглушка радиобокса 2107 | А-01561 Заглушка-удлинитель ремня
studs,40,64,aksessuary/shiny-i-diski:17 | dvigatel-i-transmissiya/detali-dvigatelya:15 | dvigatel-i-transmissiya/kpp:8 | dvigatel-i-transmissiya/toplivnaya-sistema:6 | podveska/stupicy:5 | aksessuary/instrumenty:2 | dvigatel-i-transmissiya/detali-transmissii:2 | dvigatel-i-transmissiya/nasosy:2,КГ-00602 Шпилька креп. паука ЗИЛ-130 длин./коротк. | ХСГ-00417 Шпилька с гайкой ЗАЗ (за 1 шт) | ЗЧМ-00615 Шпилька М6Х55 АЗЛК 2140 | ИН-01527 MLS-199 Шпилька для грузовика | ИН-01581 MLS-236 Шпилька NISSAN OEM 43222-50J00 | ИН-01610 07846696 Шпилька NEXIA регулиров. М16х1.5х98.5 | К-00038 Шпилька ремонтная 5 на 6 | К-00264 Шпилька трамблера 2108
clamps,34,106,dvigatel-i-transmissiya/vyhlopnaya-sistema:34 | podveska/pruzhiny:20 | dvigatel-i-transmissiya/detali-transmissii:15 | aksessuary/instrumenty:7 | kuzov-i-optika/kuzovnye-detali:7 | dvigatel-i-transmissiya/ohlazhdenie:4 | podveska/rulevye-nakonechniki:4 | dvigatel-i-transmissiya/toplivnaya-sistema:3,"К-00620 Хомут норма 170*190 | К-00621 Хомут норма 180*200, 190*210, 200*220, 210 | К-00187 Хомуты | К-00188 Хомуты | К-00618 Хомут норма 60*80, 70*90, 80*100 | К-00619 Хомут норма 90*110 | К-00718 Хомут 8/12 (ДИА-ЛУЧ) | К-00719 Хомут 40/60 (ДИА-ЛУЧ)"
screws,34,4,aksessuary/instrumenty:2 | kuzov-i-optika/bampery:1 | kuzov-i-optika/podkrylki-i-bryzgoviki:1,К-00052 Скоба самореза малая | К-00054 Саморезы Н-2093 | К-00078 Саморезы SK-0985 | К-00102 Саморезы SK-0986 | К-00113 Саморезы SK-5263 | К-00127 Саморезы SK-0992 | К-00146 Саморез длинный | К-00148 Саморезы SK-0991
