sampleType,shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,evidence,neighborTarget,needsHumanCheck,correct,correctCategory,reviewerComment
auto_ready_random,О-00056,Повторитель УАЗ,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|повторитель|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:повторитель | pattern:повторитель | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,О-00065,Поворотник Волга,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,О-00082,Поворотник 2108,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,О-00062,Поворотник 2141,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,А-02068,"Эмблема LADA, VESTA, PRIORA (тюнинг)",kuzov-i-optika,emblemy,0.92,AUTO_READY,legacy_kuzov-i-optika_emblemy|other|эмблема|kuzov-i-optika|emblemy,other,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:6:useful_tokens,,yes,,,
auto_ready_random,А-00414,AVS EXTRA LINE Щётки стеклоочистителя (к-т),aksessuary,prochie-aksessuary,0.952,AUTO_READY,wiper|other|щетки-стеклоочистителя|aksessuary|prochie-aksessuary,other,family:wiper | token:стеклооч | token:щетки | token:щётки | token:стеклоочист | phrase:щетки стеклоочистителя | validation:normalizer:7:useful_tokens,,yes,,,
auto_ready_random,ИН-01387,30494 Бачок расширительной системы охл,dvigatel-i-transmissiya,ohlazhdenie,0.94,AUTO_READY,active_neighbor|other|active-neighbor-100|dvigatel-i-transmissiya|ohlazhdenie,other,neighbor:active-neighbor:100% | token:бачок | token:ин-,dvigatel-i-transmissiya/ohlazhdenie,yes,,,
auto_ready_random,О-00092,Стекло поворотника 2108,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|поворотник|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:поворотник | pattern:поворотник | validation:normalizer:3:useful_tokens,,yes,,,
auto_ready_random,ЖЛ-00395,ЖЛ-00395,kuzov-i-optika,kuzovnye-detali,0.98,AUTO_READY,legacy_kuzov-i-optika_kuzovnye-detali|other|жл|kuzov-i-optika|kuzovnye-detali,other,family:legacy_kuzov-i-optika_kuzovnye-detali | pattern:жл- | pattern:жл- | validation:normalizer:2:useful_tokens,,yes,,,
auto_ready_random,О-00090,Повторитель 2101,kuzov-i-optika,povtoriteli,0.92,AUTO_READY,legacy_kuzov-i-optika_povtoriteli|other|повторитель|kuzov-i-optika|povtoriteli,other,family:legacy_kuzov-i-optika_povtoriteli | pattern:повторитель | pattern:повторитель | validation:normalizer:2:useful_tokens,,yes,,,
