groupId,label,count,target,confidence,homogeneity,reviewSampleSize,riskFlags,examples,outliers
pneumatic_line_fittings|pneumatic_fittings|соединитель-шлангов|tormoznaya-sistema|prochaya-tormoznaya-sistema,Пневмофитинги и соединители шлангов,38,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.92,1,12,near_threshold_or_close_candidate,КГ-01086 Соединитель шлангов Г-образный метал. д.1 | КГ-00675 Соединитель шлангов метал 14х14 | КГ-01075 Соединитель шлангов прямой метал. д.14 | КГ-01076 Соединитель шлангов прямой метал. д.16 | КГ-01077 Соединитель шлангов прямой метал. д.18 | КГ-01078 Соединитель шлангов прямой метал. д.20 | КГ-01079 Соединитель шлангов тройник метал. д.14 | КГ-01080 Соединитель шлангов тройник метал. д.16,КГ-01330 Соединитель шлангов угол 16х16 ключ 19
engine_valves|other|клапан|dvigatel-i-transmissiya|detali-dvigatelya,Детали двигателя,36,dvigatel-i-transmissiya/detali-dvigatelya,0.8867,1,12,,"ДВ-00757 К-т клапанов выпускных 2108-1007012-01-Ч ЧАМЗ немагнит. | ДВ-00009 Втулки клапанные SM 2101-07 | ДВ-00010 Втулки клапанные SM 2108 | ДВ-00042 Регулятор клапанов 2101-07 | ДВ-00047 Втулки клапанные 2101-08 (1 шт) | ДВ-00314 Клапан 2108 выпуск. (Луганск) | ДВ-00368 Клапан выпускной АМР 2101-07, за 1 шт | ДВ-00369 Клапан выпускной АМР 2108-09, за 1 шт",
wiper|other|стеклооч|aksessuary|prochie-aksessuary,Стеклоочистители,28,aksessuary/prochie-aksessuary,0.912,1,12,,"ЗЧМ-00138 Мотор стеклоочистителя 2141 | ЗЧМ-00611 Мотор стеклоочистителя 2140-412 | ИН-00214 Трапеция стеклоочистителя Дэу-Нексиа | А-00350 Лента стеклоочистителя ХОРС 54см | А-00532 Лента стеклоочистителя ХОРС 36см | А-00879 Лента стеклоочистителя ""Хорс"" 61 см | А-01342 Лента стеклоочистителя ""Хорс"" 51, 61 см | А-01994 Лента щёток стеклоочист. в блистере 71 см, к-т 2 шт, профиль ""БОШ""",
active_neighbor|clamps|active-neighbor-100|dvigatel-i-transmissiya|vyhlopnaya-sistema,Похожие активные товары,26,dvigatel-i-transmissiya/vyhlopnaya-sistema,0.94,1,12,,"ИН-00307 107 219 685 Хомут 54,5мм | ИН-00310 107 222 685 Хомут 59, 5 мм | ИН-00306 102 754 685 Хомут 54,5 мм | ИН-00308 107 220 685 Хомут 59,5мм | ИН-00309 107 221 685 Хомут 49,5 мм | КГ-00821 Хомут гл. (стремянка) 58 мм ""Bosal"" | КГ-00854 Хомут силовой 68-73 мм (25 мм) HD-18 | КГ-00897 Хомут силовой 51-55 мм (20мм) (Т) HD-14 T",
exhaust|other|гофра|dvigatel-i-transmissiya|vyhlopnaya-sistema,Выхлопная система,24,dvigatel-i-transmissiya/vyhlopnaya-sistema,0.89,1,12,,Г-00155 Гофра ф22 | Г-00255 Гофра ремонтная | Г-00414 Гофра 40х330 | Г-00509 Гофра ф38 | Г-00554 Гофра 60*100 3х-слойн.серии 311.InterLock | Г-00555 Гофра 60*150 3х-слойн.серии 311.InterLock | Г-00556 Гофра 60*200 3х-слойн.серии 311.InterLock | Г-00557 Гофра 60*250 3х-слойн.серии 311.InterLock,
pneumatic_line_fittings|fittings|соединитель|tormoznaya-sistema|prochaya-tormoznaya-sistema,Пневмофитинги и соединители шлангов,21,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.8646,1,12,,ДВ-00723 Соединитель воздушных шлангов 2107 инж. | ДВ-00724 Соединитель воздушных шлангов 21214 инж. | ИН-00689 06.301AL Труба соединительная DAEWOO NE | КГ-00757 Соединитель латунный д.6 | КГ-00758 Соединитель латунный д.8 | КГ-00759 Соединитель латунный д.10 | КГ-00760 Соединитель латунный д.12 | КГ-00761 Соединитель латунный д.14,
active_neighbor|fittings|active-neighbor-100|tormoznaya-sistema|prochaya-tormoznaya-sistema,Похожие активные товары,21,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.94,1,12,,КГ-00647 Быстросъем для пневм. трубок Ф6 | КГ-00412 Соединитель трубок ПВХ М8/м10/м12 | КГ-00563 Фитинг соединитель прям. Ф-15 мм | КГ-00564 Фитинг соединитель прям. Ф-16 мм | КГ-00871 Фитинг латунь ЕВРО 12х8 прямой | КГ-00872 Фитинг 12х6 прямой ЕВРО латунь | КГ-00873 Фитинг 16х6 прямой ЕВРО латунь | КГ-00874 Фитинг 16х12 прямой ЕВРО латунь,
exhaust_hardware|other|приемной-трубы|dvigatel-i-transmissiya|vyhlopnaya-sistema,Метизы и хомуты выхлопной системы,18,dvigatel-i-transmissiya/vyhlopnaya-sistema,0.912,1,8,,ОК-00061 Прижим приемной трубы | РГ-00127 Ремкомплект приемной трубы ГАЗ-53 | РГ-00274 Рем.к-т приемной трубы УАЗ-469 | Г-00158 Флянец приемной трубы Бычок | ИН-01075 К-т приемной трубы Рено (8 кл.) | ИН-01076 К-т приемной трубы Рено Дастер (16 кл.) | К-00192 Стопор гаек приёмной трубы ВАЗ | К-00486 Рем.к-т приемной трубы 2112 с катализат.,
misc_accessories|other|пленка|aksessuary|prochie-aksessuary,Прочие аксессуары,18,aksessuary/prochie-aksessuary,0.85,1,8,,"А-00401 Пленка тонирующая с переходом | А-01574 MTF Пленка PREMIUM 0,5м | А-01575 MTF Пленка PREMIUM 0,75м | А-02109 Плёнка тонирров. MTF 1мх3м | А-02137 TOR Маскировочная пленка 1100ммх33мм с клеящей лентой (стат. эффект) | А-00010 Плёнка с переходом 75 см | А-00097 Плёнка тонирующая | А-00277 Пленка тонирующая 5%, 0,5 м MTF (Корея)",
washer_reservoir|other|бачок-омывателя|kuzov-i-optika|kuzovnye-detali,Бачки омывателя,17,kuzov-i-optika/kuzovnye-detali,0.912,1,8,,"ДВ-00129 Бачок омывателя 2101-07 | ДВ-00226 Бачок омывателя двойной пустой ВАЗ | А-00663 Бачок омывателя зад. Нива, 2104, Ока | ДВ-00059 Бачок омывателя 2101 (пустой) | ДВ-00220 Бачок омывателя 2108 | ДВ-00252 Бачок омывателя 21214 | ДВ-00279 Бачок омывателя 21213 | ДВ-00333 Бачок омывателя 2110",
wheel_caps|other|колпаки|aksessuary|shiny-i-diski,Колпаки колес,17,aksessuary/shiny-i-diski,0.9049,1,8,,"А-01083 Колпаки декоративные малые ВАЗ (1 шт) | А-00785 Колпаки хромированные д.15 | А-01052 Колпаки Каррера плюс 13/14 | А-01325 Колпаки Рено д.15,14 (1 шт) | А-00784 Колпаки хромированные д.16 ЛЕМАНС | А-01410 Колпаки ""Леманс"" 13,14 | А-01973 Колпаки МИГ БЕЛЫЙ (Газель) 16(10), 4 шт | А-01013 Колпаки Наскар Золотой 13",
pneumatic_line_fittings|pneumatic_fittings|наружная-резьба|tormoznaya-sistema|prochaya-tormoznaya-sistema,Пневмофитинги и соединители шлангов,16,tormoznaya-sistema/prochaya-tormoznaya-sistema,0.902,1,8,,"КГ-01176 Фурнитура наружная резьба D=6 М 20*1.5 0759 | КГ-01097 Фурнитура D6 М10Х1 наружная резьба | КГ-01175 Фурнитура наружная резьба D=6 М 8*1 0796 | КГ-01177 Фурнитура наружная резьба D=8 М8*1 | КГ-01178 Фурнитура наружная резьба D=8 М 12*1,25 | КГ-01179 Фурнитура наружная резьба D=8 М 16*1,5 | КГ-01180 Фурнитура наружная резьба D=8 М 20*1,5 0760 | КГ-01181 Фурнитура наружная резьба D=8 М 22*1,5",
electrical_misc|other|компьютер|elektrika|prochaya-elektrika,Прочая электрика,16,elektrika/prochaya-elektrika,0.85,1,8,,"А-00161 Компьютер ""Штат"" 2110 (голосовой) | А-00585 Компьютер 2115 (говорящий) | А-00759 Компьютер 2115 | А-01051 Компьютер ШТАТ н/о 2107 | А-00205 Компьютер маршрутный 2110 ""Штат"" мультидис | А-00283 Компьютер ""Штат"" 5К-21 Нива | А-00308 Компьютер ""Штат Х1"" 2110,Самара-2, Калина, | А-00531 Компьютер для 406 дв.",
accessory_electronics|other|автомагнитола|aksessuary|prochie-aksessuary,Автоэлектроника и устройства,15,aksessuary/prochie-aksessuary,0.89,1,8,,"А-00694 Автомагнитола AM Eplutus СА310, СА313 | А-01270 Автомагнитола ""УРАЛ"" 280 24V | А-01272 Автомагнитола ""SWAT"" 212 | А-01544 Автомагнитола ""Carlive"" | А-02312 Автомагнитола мультимедиа Factory F-1-10 | А-00443 Автомагнитола МОК-4041 | А-00647 Автомагнитола ""Eplutus"" СА902 | А-01271 Автомагнитола CarLive А6 (10)",
